"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCABAMBA (000)",123735,3038,46019,28919,20183,17250,8326
"Jefe o Jefa (001)",28948,,49,4119,9336,10026,5418
"Esposa(o) / compañera(o) (002)",18783,,44,4437,6945,5659,1698
"Hijo(a) / hijastro(a) (003)",58753,2210,36935,16270,2690,631,17
"Yerno / nuera (004)",1071,,26,741,262,42,
"Nieto(a) (005)",7962,574,6070,1247,67,4,
"Padres / suegros (006)",1051,,,,21,244,786
"Otro(a) pariente (007)",6223,242,2735,1676,660,548,362
"Trabajador(a) del hogar (008)",164,,17,112,23,9,3
"Pensionistas (009)",53,,5,23,19,5,1
"Otro(a) no pariente (010)",727,12,138,294,160,82,41
"Hombres (011)",61993,1537,23451,14648,9849,8459,4049
"Jefe o Jefa (012)",21984,,25,3159,7587,7614,3599
"Esposa(o) / compañera(o) (013)",619,,23,185,209,140,62
"Hijo(a) / hijastro(a) (014)",30943,1134,18788,9300,1412,299,10
"Yerno / nuera (015)",359,,9,183,147,20,
"Nieto(a) (016)",4143,278,3129,697,36,3,
"Padres / suegros (017)",252,,,,4,56,192
"Otro(a) pariente (018)",3228,120,1397,930,353,268,160
"Trabajador(a) del hogar (019)",17,,1,7,4,3,2
"Pensionistas (020)",27,,3,13,7,4,
"Otro(a) no pariente (021)",421,5,76,174,90,52,24
"Mujeres (022)",61742,1501,22568,14271,10334,8791,4277
"Jefe o Jefa (023)",6964,,24,960,1749,2412,1819
"Esposa(o) / compañera(o) (024)",18164,,21,4252,6736,5519,1636
"Hijo(a) / hijastro(a) (025)",27810,1076,18147,6970,1278,332,7
"Yerno / nuera (026)",712,,17,558,115,22,
"Nieto(a) (027)",3819,296,2941,550,31,1,
"Padres / suegros (028)",799,,,,17,188,594
"Otro(a) pariente (029)",2995,122,1338,746,307,280,202
"Trabajador(a) del hogar (030)",147,,16,105,19,6,1
"Pensionistas (031)",26,,2,10,12,1,1
"Otro(a) no pariente (032)",306,7,62,120,70,30,17
,,,,,,,
"URBANA (033)",15078,243,4566,3802,3123,2299,1045
"Jefe o Jefa (034)",4038,,18,577,1403,1364,676
"Esposa(o) / compañera(o) (035)",2235,,4,462,979,602,188
"Hijo(a) / hijastro(a) (036)",5885,168,3422,1760,415,118,2
"Yerno / nuera (037)",160,,3,85,66,6,
"Nieto(a) (038)",887,55,647,173,12,,
"Padres / suegros (039)",148,,,,2,39,107
"Otro(a) pariente (040)",1182,14,393,462,133,120,60
"Trabajador(a) del hogar (041)",118,,8,91,15,3,1
"Pensionistas (042)",36,,5,16,12,3,
"Otro(a) no pariente (043)",389,6,66,176,86,44,11
"Hombres (044)",7433,126,2402,1810,1472,1116,507
"Jefe o Jefa (045)",2767,,9,363,1016,949,430
"Esposa(o) / compañera(o) (046)",166,,2,49,70,31,14
"Hijo(a) / hijastro(a) (047)",3114,95,1809,957,204,48,1
"Yerno / nuera (048)",71,,1,25,42,3,
"Nieto(a) (049)",458,22,333,96,7,,
"Padres / suegros (050)",39,,,,,10,29
"Otro(a) pariente (051)",588,8,207,218,82,47,26
"Trabajador(a) del hogar (052)",1,,,,1,,
"Pensionistas (053)",18,,3,7,5,3,
"Otro(a) no pariente (054)",211,1,38,95,45,25,7
"Mujeres (055)",7645,117,2164,1992,1651,1183,538
"Jefe o Jefa (056)",1271,,9,214,387,415,246
"Esposa(o) / compañera(o) (057)",2069,,2,413,909,571,174
"Hijo(a) / hijastro(a) (058)",2771,73,1613,803,211,70,1
"Yerno / nuera (059)",89,,2,60,24,3,
"Nieto(a) (060)",429,33,314,77,5,,
"Padres / suegros (061)",109,,,,2,29,78
"Otro(a) pariente (062)",594,6,186,244,51,73,34
"Trabajador(a) del hogar (063)",117,,8,91,14,3,1
"Pensionistas (064)",18,,2,9,7,,
"Otro(a) no pariente (065)",178,5,28,81,41,19,4
,,,,,,,
"RURAL (066)",108657,2795,41453,25117,17060,14951,7281
"Jefe o Jefa (067)",24910,,31,3542,7933,8662,4742
"Esposa(o) / compañera(o) (068)",16548,,40,3975,5966,5057,1510
"Hijo(a) / hijastro(a) (069)",52868,2042,33513,14510,2275,513,15
"Yerno / nuera (070)",911,,23,656,196,36,
"Nieto(a) (071)",7075,519,5423,1074,55,4,
"Padres / suegros (072)",903,,,,19,205,679
"Otro(a) pariente (073)",5041,228,2342,1214,527,428,302
"Trabajador(a) del hogar (074)",46,,9,21,8,6,2
"Pensionistas (075)",17,,,7,7,2,1
"Otro(a) no pariente (076)",338,6,72,118,74,38,30
"Hombres (077)",54560,1411,21049,12838,8377,7343,3542
"Jefe o Jefa (078)",19217,,16,2796,6571,6665,3169
"Esposa(o) / compañera(o) (079)",453,,21,136,139,109,48
"Hijo(a) / hijastro(a) (080)",27829,1039,16979,8343,1208,251,9
"Yerno / nuera (081)",288,,8,158,105,17,
"Nieto(a) (082)",3685,256,2796,601,29,3,
"Padres / suegros (083)",213,,,,4,46,163
"Otro(a) pariente (084)",2640,112,1190,712,271,221,134
"Trabajador(a) del hogar (085)",16,,1,7,3,3,2
"Pensionistas (086)",9,,,6,2,1,
"Otro(a) no pariente (087)",210,4,38,79,45,27,17
"Mujeres (088)",54097,1384,20404,12279,8683,7608,3739
"Jefe o Jefa (089)",5693,,15,746,1362,1997,1573
"Esposa(o) / compañera(o) (090)",16095,,19,3839,5827,4948,1462
"Hijo(a) / hijastro(a) (091)",25039,1003,16534,6167,1067,262,6
"Yerno / nuera (092)",623,,15,498,91,19,
"Nieto(a) (093)",3390,263,2627,473,26,1,
"Padres / suegros (094)",690,,,,15,159,516
"Otro(a) pariente (095)",2401,116,1152,502,256,207,168
