"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia HUANCANE",,,,,,
"Viviendas particulares (001)",22288,22046,209,29,4,
"Ocupantes presentes (002)",68806,67017,1433,298,58,
"Casa independiente",,,,,,
"Viviendas particulares (004)",17296,17070,194,28,4,
"Ocupantes presentes (005)",53697,52001,1349,289,58,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",2,2,,,,
"Ocupantes presentes (008)",5,5,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",8,7,1,,,
"Ocupantes presentes (011)",26,22,4,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",18,18,,,,
"Ocupantes presentes (014)",49,49,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",4943,4928,14,1,,
"Ocupantes presentes (017)",14979,14890,80,9,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1,1,,,,
"Ocupantes presentes (020)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",9,9,,,,
"Ocupantes presentes (023)",27,27,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",11,11,,,,
"Ocupantes presentes (026)",22,22,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",3975,3779,166,26,4,
"Ocupantes presentes (029)",13146,11647,1169,272,58,
"Casa independiente",,,,,,
"Viviendas particulares (031)",3938,3743,165,26,4,
"Ocupantes presentes (032)",13043,11548,1165,272,58,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",2,2,,,,
"Ocupantes presentes (035)",5,5,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",8,7,1,,,
"Ocupantes presentes (038)",26,22,4,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",18,18,,,,
"Ocupantes presentes (041)",49,49,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1,1,,,,
"Ocupantes presentes (047)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",7,7,,,,
"Ocupantes presentes (050)",19,19,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",1,1,,,,
"Ocupantes presentes (053)",3,3,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",18313,18267,43,3,,
"Ocupantes presentes (056)",55660,55370,264,26,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",13358,13327,29,2,,
"Ocupantes presentes (059)",40654,40453,184,17,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",4943,4928,14,1,,
"Ocupantes presentes (071)",14979,14890,80,9,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",8,8,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",10,10,,,,
"Ocupantes presentes (080)",19,19,,,,
