"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANTA (000)",6008,4546,685,445,332
"Empleado (001)",703,226,72,112,293
"Obrero (002)",2079,1290,438,314,37
"Trabajador independiente (003)",2272,2154,118,,
"Empleador o patrono (004)",263,221,27,15,
"Trabajador familiar no remunerado (005)",610,574,30,4,2
"Trabajador del hogar (006)",81,81,,,
"De 06 a 14 años (008)",95,82,11,2,
"Empleado (009)",3,3,,,
"Obrero (010)",20,11,7,2,
"Trabajador independiente (011)",15,15,,,
"Trabajador familiar no remunerado (013)",54,50,4,,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",1784,1215,293,191,85
"Empleado (017)",208,89,27,27,65
"Obrero (018)",890,499,213,158,20
"Trabajador independiente (019)",420,382,38,,
"Empleador o patrono (020)",35,29,3,3,
"Trabajador familiar no remunerado (021)",190,175,12,3,
"Trabajador del hogar (022)",41,41,,,
"De 30 a 44 años (024)",1890,1331,237,183,139
"Empleado (025)",283,76,25,55,127
"Obrero (026)",679,397,151,119,12
"Trabajador independiente (027)",680,638,42,,
"Empleador o patrono (028)",78,60,10,8,
"Trabajador familiar no remunerado (029)",156,146,9,1,
"Trabajador del hogar (030)",14,14,,,
"De 45 a 64 años (032)",1583,1293,128,63,99
"Empleado (033)",188,48,18,28,94
"Obrero (034)",369,272,61,31,5
"Trabajador independiente (035)",770,735,35,,
"Empleador o patrono (036)",102,89,9,4,
"Trabajador familiar no remunerado (037)",135,130,5,,
"Trabajador del hogar (038)",19,19,,,
"De 65 y más años (040)",656,625,16,6,9
"Empleado (041)",21,10,2,2,7
"Obrero (042)",121,111,6,4,
"Trabajador independiente (043)",387,384,3,,
"Empleador o patrono (044)",48,43,5,,
"Trabajador familiar no remunerado (045)",75,73,,,2
"Trabajador del hogar (046)",4,4,,,
,,,,,
"URBANA (048)",2887,2324,172,129,262
"Empleado (049)",519,145,55,75,244
"Obrero (050)",545,408,71,50,16
"Trabajador independiente (051)",1281,1244,37,,
"Empleador o patrono (052)",119,113,3,3,
"Trabajador familiar no remunerado (053)",361,352,6,1,2
"Trabajador del hogar (054)",62,62,,,
"De 06 a 14 años (056)",48,47,1,,
"Empleado (057)",3,3,,,
"Obrero (058)",5,4,1,,
