"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAYTARA (000)",23274,396,7248,4928,4461,3634,2607
"Hombres (001)",12257,218,3760,2610,2542,1905,1222
"Mujeres (002)",11017,178,3488,2318,1919,1729,1385
"Viviendas particulares (003)",21756,392,7226,4444,3703,3402,2589
"Hombres (004)",10879,215,3752,2186,1820,1697,1209
"Mujeres (005)",10877,177,3474,2258,1883,1705,1380
"Viviendas colectivas (006)",1293,3,9,405,694,175,7
"Hombres (007)",1222,2,2,377,668,167,6
"Mujeres (008)",71,1,7,28,26,8,1
"Otro tipo (009)",225,1,13,79,64,57,11
"Hombres (010)",156,1,6,47,54,41,7
"Mujeres (011)",69,,7,32,10,16,4
,,,,,,,
"URBANA (012)",6752,123,2033,1622,1289,1012,673
"Hombres (013)",3468,72,1054,852,683,504,303
"Mujeres (014)",3284,51,979,770,606,508,370
"Viviendas particulares (015)",6453,120,2015,1523,1187,948,660
"Hombres (016)",3261,70,1049,787,600,460,295
"Mujeres (017)",3192,50,966,736,587,488,365
"Viviendas colectivas (018)",113,3,8,33,46,19,4
"Hombres (019)",81,2,1,26,36,13,3
"Mujeres (020)",32,1,7,7,10,6,1
"Otro tipo (021)",186,,10,66,56,45,9
"Hombres (022)",126,,4,39,47,31,5
"Mujeres (023)",60,,6,27,9,14,4
,,,,,,,
"RURAL (024)",16522,273,5215,3306,3172,2622,1934
"Hombres (025)",8789,146,2706,1758,1859,1401,919
"Mujeres (026)",7733,127,2509,1548,1313,1221,1015
"Viviendas particulares (027)",15303,272,5211,2921,2516,2454,1929
"Hombres (028)",7618,145,2703,1399,1220,1237,914
"Mujeres (029)",7685,127,2508,1522,1296,1217,1015
"Viviendas colectivas (030)",1180,,1,372,648,156,3
"Hombres (031)",1141,,1,351,632,154,3
"Mujeres (032)",39,,,21,16,2,
"Otro tipo (033)",39,1,3,13,8,12,2
"Hombres (034)",30,1,2,8,7,10,2
"Mujeres (035)",9,,1,5,1,2,
