"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANTABAMBA (000)",12267,5490,1008,142,5634
"Menos de 1 año (001)",266,219,14,1,32
"De 1 a 14 años (002)",4226,3410,307,22,488
"De 15 a 29 años (003)",2333,758,127,30,1418
"De 30 a 44 años (004)",2105,448,224,41,1394
"De 45 a 64 años (005)",1986,373,252,35,1329
"De 65 y mas años (006)",1351,282,84,13,973
"Hombres (008)",6272,2646,533,77,3020
"Menos de 1 año (009)",135,114,9,1,11
"De 1 a 14 años (010)",2228,1798,156,8,266
"De 15 a 29 años (011)",1209,318,63,19,809
"De 30 a 44 años (012)",1108,157,105,24,823
"De 45 a 64 años (013)",980,142,152,18,670
"De 65 y mas años (014)",612,117,48,7,441
"Mujeres (016)",5995,2844,475,65,2614
"Menos de 1 año (017)",131,105,5,,21
"De 1 a 14 años (018)",1998,1612,151,14,222
"De 15 a 29 años (019)",1124,440,64,11,609
"De 30 a 44 años (020)",997,291,119,17,571
"De 45 a 64 años (021)",1006,231,100,17,659
"De 65 y mas años (022)",739,165,36,6,532
,,,,,
"URBANA (024)",8616,3926,850,117,3728
"Menos de 1 año (025)",173,137,10,1,25
"De 1 a 14 años (026)",3060,2430,261,21,348
"De 15 a 29 años (027)",1696,591,103,22,980
"De 30 a 44 años (028)",1457,310,185,37,927
"De 45 a 64 años (029)",1348,254,218,25,854
"De 65 y mas años (030)",882,204,73,11,594
"Hombres (032)",4340,1891,436,60,1956
"Menos de 1 año (033)",81,67,6,1,7
"De 1 a 14 años (034)",1617,1291,131,8,187
"De 15 a 29 años (035)",887,264,49,15,559
"De 30 a 44 años (036)",726,99,79,20,529
"De 45 a 64 años (037)",652,94,131,10,419
"De 65 y mas años (038)",377,76,40,6,255
"Mujeres (040)",4276,2035,414,57,1772
"Menos de 1 año (041)",92,70,4,,18
"De 1 a 14 años (042)",1443,1139,130,13,161
"De 15 a 29 años (043)",809,327,54,7,421
"De 30 a 44 años (044)",731,211,106,17,398
"De 45 a 64 años (045)",696,160,87,15,435
"De 65 y mas años (046)",505,128,33,5,339
,,,,,
"RURAL (048)",3651,1564,158,25,1906
"Menos de 1 año (049)",93,82,4,,7
"De 1 a 14 años (050)",1166,980,46,1,140
"De 15 a 29 años (051)",637,167,24,8,438
"De 30 a 44 años (052)",648,138,39,4,467
"De 45 a 64 años (053)",638,119,34,10,475
"De 65 y mas años (054)",469,78,11,2,379
"Hombres (056)",1932,755,97,17,1064
"Menos de 1 año (057)",54,47,3,,4
"De 1 a 14 años (058)",611,507,25,,79
"De 15 a 29 años (059)",322,54,14,4,250
"De 30 a 44 años (060)",382,58,26,4,294
"De 45 a 64 años (061)",328,48,21,8,251
"De 65 y mas años (062)",235,41,8,1,186
"Mujeres (064)",1719,809,61,8,842
"Menos de 1 año (065)",39,35,1,,3
"De 1 a 14 años (066)",555,473,21,1,61
"De 15 a 29 años (067)",315,113,10,4,188
"De 30 a 44 años (068)",266,80,13,,173
"De 45 a 64 años (069)",310,71,13,2,224
"De 65 y mas años (070)",234,37,3,1,193
