"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUALLAGA (000)",11098,1712,3228,2997,3161
"Asiste actualmente (001)",6028,540,2925,2126,437
"No asiste (002)",5070,1172,303,871,2724
"Hombres (004)",5745,900,1661,1598,1586
"Asiste actualmente (005)",3136,307,1481,1105,243
"No asiste (006)",2609,593,180,493,1343
"Mujeres (008)",5353,812,1567,1399,1575
"Asiste actualmente (009)",2892,233,1444,1021,194
"No asiste (010)",2461,579,123,378,1381
,,,,,
"URBANA (012)",5467,751,1458,1777,1481
"Asiste actualmente (013)",3595,306,1388,1541,360
"No asiste (014)",1872,445,70,236,1121
"Hombres (016)",2781,395,736,914,736
"Asiste actualmente (017)",1837,178,694,776,189
"No asiste (018)",944,217,42,138,547
"Mujeres (020)",2686,356,722,863,745
"Asiste actualmente (021)",1758,128,694,765,171
"No asiste (022)",928,228,28,98,574
,,,,,
"RURAL (024)",5631,961,1770,1220,1680
"Asiste actualmente (025)",2433,234,1537,585,77
"No asiste (026)",3198,727,233,635,1603
"Hombres (028)",2964,505,925,684,850
"Asiste actualmente (029)",1299,129,787,329,54
"No asiste (030)",1665,376,138,355,796
"Mujeres (032)",2667,456,845,536,830
"Asiste actualmente (033)",1134,105,750,256,23
"No asiste (034)",1533,351,95,280,807
