"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ASCOPE (000)",39,39,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",13,13,
"Casa pensión (003)",5,5,
"Hospital, clinica (004)",4,4,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",12,12,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,4,
