"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia LA CONVENCION",,,,,,,
"Viviendas particulares (001)",44022,7734,1465,897,30312,1796,1818
"Ocupantes presentes (002)",163558,24007,5700,3457,117609,6101,6684
"Casa independiente",,,,,,,
"Viviendas particulares (004)",37199,4630,1193,804,27787,1371,1414
"Ocupantes presentes (005)",140421,15104,4583,3125,107796,4657,5156
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",163,96,,4,48,6,9
"Ocupantes presentes (008)",481,258,,13,163,14,33
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",576,429,,7,94,21,25
"Ocupantes presentes (011)",1669,1186,,21,317,82,63
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",3214,2365,,35,671,34,109
"Ocupantes presentes (014)",9611,6769,,129,2259,106,348
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2417,123,219,38,1607,191,239
"Ocupantes presentes (017)",9889,395,981,153,6682,648,1030
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",356,56,53,8,77,149,13
"Ocupantes presentes (020)",1205,180,136,15,304,528,42
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",63,30,,,15,13,5
"Ocupantes presentes (023)",180,100,,,47,28,5
"Otro tipo",,,,,,,
"Viviendas particulares (025)",34,5,,1,13,11,4
"Ocupantes presentes (026)",102,15,,1,41,38,7
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",13872,5865,979,407,5681,472,468
"Ocupantes presentes (029)",48050,17798,3751,1618,21693,1590,1600
"Casa independiente",,,,,,,
"Viviendas particulares (031)",9506,2890,926,353,4782,245,310
"Ocupantes presentes (032)",34935,9327,3615,1440,18631,810,1112
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",163,96,,4,48,6,9
"Ocupantes presentes (035)",481,258,,13,163,14,33
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",576,429,,7,94,21,25
"Ocupantes presentes (038)",1669,1186,,21,317,82,63
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",3214,2365,,35,671,34,109
"Ocupantes presentes (041)",9611,6769,,129,2259,106,348
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",356,56,53,8,77,149,13
"Ocupantes presentes (047)",1205,180,136,15,304,528,42
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",41,24,,,6,9,2
"Ocupantes presentes (050)",99,63,,,16,18,2
"Otro tipo",,,,,,,
"Viviendas particulares (052)",16,5,,,3,8,
"Ocupantes presentes (053)",50,15,,,3,32,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",30150,1869,486,490,24631,1324,1350
"Ocupantes presentes (056)",115508,6209,1949,1839,95916,4511,5084
"Casa independiente",,,,,,,
"Viviendas particulares (058)",27693,1740,267,451,23005,1126,1104
"Ocupantes presentes (059)",105486,5777,968,1685,89165,3847,4044
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2417,123,219,38,1607,191,239
"Ocupantes presentes (071)",9889,395,981,153,6682,648,1030
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",22,6,,,9,4,3
"Ocupantes presentes (077)",81,37,,,31,10,3
"Otro tipo",,,,,,,
"Viviendas particulares (079)",18,,,1,10,3,4
"Ocupantes presentes (080)",52,,,1,38,6,7
