"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTA CRUZ (000)",38668,9030,3045,595,26037
"Hombres (001)",19341,4414,1559,333,13054
"Mujeres (002)",19327,4616,1486,262,12983
"PEA (003)",11753,667,1235,222,9643
"Hombres (004)",9402,502,715,180,8013
"Mujeres (005)",2351,165,520,42,1630
"Ocupada (006)",11122,623,1214,219,9080
"Hombres (007)",8870,472,698,178,7530
"Mujeres (008)",2252,151,516,41,1550
"Desocupada (009)",631,44,21,3,563
"Hombres (010)",532,30,17,2,483
"Mujeres (011)",99,14,4,1,80
"No PEA (012)",26915,8363,1810,373,16394
"Hombres (013)",9939,3912,844,153,5041
"Mujeres (014)",16976,4451,966,220,11353
,,,,,
"URBANA (018)",8191,1404,1861,315,4639
"Hombres (019)",4055,656,938,192,2282
"Mujeres (020)",4136,748,923,123,2357
"PEA (021)",3195,194,881,172,1961
"Hombres (022)",2119,115,485,139,1387
"Mujeres (023)",1076,79,396,33,574
"Ocupada (024)",3066,184,869,169,1857
"Hombres (025)",2023,110,476,137,1307
"Mujeres (026)",1043,74,393,32,550
"Desocupada (027)",129,10,12,3,104
"Hombres (028)",96,5,9,2,80
"Mujeres (029)",33,5,3,1,24
"No PEA (030)",4996,1210,980,143,2678
"Hombres (031)",1936,541,453,53,895
"Mujeres (032)",3060,669,527,90,1783
,,,,,
"RURAL (036)",30477,7626,1184,280,21398
"Hombres (037)",15286,3758,621,141,10772
"Mujeres (038)",15191,3868,563,139,10626
"PEA (039)",8558,473,354,50,7682
"Hombres (040)",7283,387,230,41,6626
"Mujeres (041)",1275,86,124,9,1056
"Ocupada (042)",8056,439,345,50,7223
"Hombres (043)",6847,362,222,41,6223
"Mujeres (044)",1209,77,123,9,1000
"Desocupada (045)",502,34,9,,459
"Hombres (046)",436,25,8,,403
"Mujeres (047)",66,9,1,,56
"No PEA (048)",21919,7153,830,230,13716
"Hombres (049)",8003,3371,391,100,4146
"Mujeres (050)",13916,3782,439,130,9570
