"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MANU (000)",4400,4116,40,1205,1020,739,717,293,79,23,284,11389
"De 12 a 14 años (001)",6,3,,3,,,,,,,3,3
"De 15 a 19 años (002)",270,224,3,199,16,6,,,,,46,249
"De 20 a 24 años (003)",918,825,11,523,232,50,8,1,,,93,1179
"De 25 a 29 años (004)",810,745,7,245,280,156,51,5,1,,65,1531
"De 30 a 34 años (005)",705,671,4,111,204,194,131,23,4,,34,1838
"De 35 a 39 años (006)",571,557,7,48,129,139,167,58,5,4,14,1906
"De 40 a 44 años (007)",420,417,2,29,72,87,146,59,16,6,3,1651
"De 45 a 49 años (008)",286,279,2,18,39,47,97,53,21,2,7,1214
"De 50 y más años (009)",414,395,4,29,48,60,117,94,32,11,19,1818
"PEA (010)",2179,2022,23,608,514,376,336,124,33,8,157,5373
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",102,80,2,70,6,2,,,,,22,88
"De 20 a 24 años (013)",447,384,6,250,106,19,3,,,,63,532
"De 25 a 29 años (014)",386,347,6,140,126,56,18,1,,,39,644
"De 30 a 34 años (015)",369,355,2,77,107,103,56,10,,,14,899
"De 35 a 39 años (016)",308,302,4,36,76,80,81,22,2,1,6,943
"De 40 a 44 años (017)",241,240,2,15,50,62,73,29,8,1,1,877
"De 45 a 49 años (018)",158,153,,9,27,30,53,22,11,1,5,633
"De 50 y más años (019)",167,161,1,11,16,24,52,40,12,5,6,757
"Ocupada (020)",2145,1996,23,594,508,373,333,124,33,8,149,5325
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",98,77,2,68,5,2,,,,,21,84
