"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia LUCANAS (000)",40824,39863,961
"Hombres (001)",20872,20506,366
"Mujeres (002)",19952,19357,595
"De 18 a 29 años (003)",11527,11205,322
"Hombres (004)",5995,5827,168
"Mujeres (005)",5532,5378,154
"De 30 a 44 años (006)",11896,11805,91
"Hombres (007)",6215,6167,48
"Mujeres (008)",5681,5638,43
"De 45 a 64 años (009)",10372,10242,130
"Hombres (010)",5350,5304,46
"Mujeres (011)",5022,4938,84
"De 65 y más años (012)",7029,6611,418
"Hombres (013)",3312,3208,104
"Mujeres (014)",3717,3403,314
,,,
"URBANA (015)",23951,23574,377
"Hombres (016)",11661,11524,137
"Mujeres (017)",12290,12050,240
"De 18 a 29 años (018)",6729,6601,128
"Hombres (019)",3320,3251,69
"Mujeres (020)",3409,3350,59
"De 30 a 44 años (021)",7178,7139,39
"Hombres (022)",3536,3511,25
"Mujeres (023)",3642,3628,14
"De 45 a 64 años (024)",5961,5921,40
"Hombres (025)",2985,2971,14
"Mujeres (026)",2976,2950,26
"De 65 y más años (027)",4083,3913,170
"Hombres (028)",1820,1791,29
"Mujeres (029)",2263,2122,141
,,,
"RURAL (030)",16873,16289,584
"Hombres (031)",9211,8982,229
"Mujeres (032)",7662,7307,355
"De 18 a 29 años (033)",4798,4604,194
"Hombres (034)",2675,2576,99
"Mujeres (035)",2123,2028,95
"De 30 a 44 años (036)",4718,4666,52
"Hombres (037)",2679,2656,23
"Mujeres (038)",2039,2010,29
"De 45 a 64 años (039)",4411,4321,90
"Hombres (040)",2365,2333,32
"Mujeres (041)",2046,1988,58
"De 65 y más años (042)",2946,2698,248
"Hombres (043)",1492,1417,75
"Mujeres (044)",1454,1281,173
