"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUAYTARA (000)",17136,2394,2433,565,11935
"Conviviente (001)",3849,282,704,153,2783
"Separado(a) (002)",503,27,56,16,404
"Casado(a) (003)",6410,350,1096,224,4821
"Viudo(a) (004)",1102,37,40,11,1015
"Divorciado(a) (005)",76,6,6,3,61
"Soltero(a) (006)",5196,1692,531,158,2851
"Hombres (008)",9099,1123,1814,419,5928
"Conviviente (009)",2085,82,553,125,1398
"Separado(a) (010)",168,7,27,9,125
"Casado(a) (011)",3556,122,838,166,2509
"Viudo(a) (012)",259,9,13,5,233
"Divorciado(a) (013)",40,2,6,1,31
"Soltero(a) (014)",2991,901,377,113,1632
"Mujeres (016)",8037,1271,619,146,6007
"Conviviente (017)",1764,200,151,28,1385
"Separado(a) (018)",335,20,29,7,279
"Casado(a) (019)",2854,228,258,58,2312
"Viudo(a) (020)",843,28,27,6,782
"Divorciado(a) (021)",36,4,,2,30
"Soltero(a) (022)",2205,791,154,45,1219
,,,,,
"URBANA (024)",5064,651,745,153,3521
"Conviviente (025)",1029,50,161,42,776
"Separado(a) (026)",170,2,31,5,132
"Casado(a) (027)",1772,31,343,56,1345
"Viudo(a) (028)",300,4,19,2,275
"Divorciado(a) (029)",21,3,2,1,15
"Soltero(a) (030)",1772,561,189,47,978
"Hombres (032)",2592,339,416,118,1723
"Conviviente (033)",518,14,97,34,373
"Separado(a) (034)",65,1,12,4,48
"Casado(a) (035)",923,11,197,44,673
"Viudo(a) (036)",65,2,6,2,55
"Divorciado(a) (037)",11,1,2,1,7
"Soltero(a) (038)",1010,310,102,33,567
"Mujeres (040)",2472,312,329,35,1798
"Conviviente (041)",511,36,64,8,403
"Separado(a) (042)",105,1,19,1,84
"Casado(a) (043)",849,20,146,12,672
"Viudo(a) (044)",235,2,13,,220
"Divorciado(a) (045)",10,2,,,8
"Soltero(a) (046)",762,251,87,14,411
,,,,,
"RURAL (048)",12072,1743,1688,412,8414
"Conviviente (049)",2820,232,543,111,2007
"Separado(a) (050)",333,25,25,11,272
"Casado(a) (051)",4638,319,753,168,3476
"Viudo(a) (052)",802,33,21,9,740
"Divorciado(a) (053)",55,3,4,2,46
"Soltero(a) (054)",3424,1131,342,111,1873
"Hombres (056)",6507,784,1398,301,4205
"Conviviente (057)",1567,68,456,91,1025
"Separado(a) (058)",103,6,15,5,77
"Casado(a) (059)",2633,111,641,122,1836
"Viudo(a) (060)",194,7,7,3,178
"Divorciado(a) (061)",29,1,4,,24
"Soltero(a) (062)",1981,591,275,80,1065
"Mujeres (064)",5565,959,290,111,4209
"Conviviente (065)",1253,164,87,20,982
"Separado(a) (066)",230,19,10,6,195
"Casado(a) (067)",2005,208,112,46,1640
"Viudo(a) (068)",608,26,14,6,562
"Divorciado(a) (069)",26,2,,2,22
"Soltero(a) (070)",1443,540,67,31,808
