"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARHUAZ (000)",17287,16786,5105,2310,2225,1728,2465,1451,850,652,501,46621
"De 12 a 14 años (001)",1559,1550,1547,2,1,,,,,,9,4
"De 15 a 19 años (002)",2276,2220,1984,209,22,3,2,,,,56,270
"De 20 a 24 años (003)",1904,1751,732,677,275,48,18,1,,,153,1456
"De 25 a 29 años (004)",1653,1529,281,495,467,199,83,3,1,,124,2400
"De 30 a 34 años (005)",1523,1479,117,315,470,296,243,34,3,1,44,3440
"De 35 a 39 años (006)",1452,1419,76,158,347,329,375,107,26,1,33,4366
"De 40 a 44 años (007)",1256,1242,63,110,196,239,387,165,58,24,14,4740
"De 45 a 49 años (008)",1090,1077,54,75,130,154,316,208,100,40,13,4867
"De 50 y más años (009)",4574,4519,251,269,317,460,1041,933,662,586,55,25078
"PEA (010)",3516,3336,911,604,552,389,441,246,112,81,180,8250
"De 12 a 14 años (011)",62,60,60,,,,,,,,2,
"De 15 a 19 años (012)",380,368,332,35,,1,,,,,12,38
"De 20 a 24 años (013)",441,390,225,114,39,8,4,,,,51,234
"De 25 a 29 años (014)",421,372,121,120,89,34,7,1,,,49,434
"De 30 a 34 años (015)",415,398,47,124,126,55,42,3,1,,17,749
"De 35 a 39 años (016)",378,361,30,63,99,78,71,16,4,,17,931
"De 40 a 44 años (017)",341,333,24,52,75,64,79,31,6,2,8,1015
"De 45 a 49 años (018)",293,284,22,32,54,48,57,50,12,9,9,1061
"De 50 y más años (019)",785,770,50,64,70,101,181,145,89,70,15,3788
"Ocupada (020)",3342,3174,823,568,536,383,430,243,110,81,168,8080
"De 12 a 14 años (021)",57,55,55,,,,,,,,2,
"De 15 a 19 años (022)",340,330,297,32,,1,,,,,10,35
