"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia NAZCA (000)",24276,377,7473,9026,6327,1073
"Agric., ganadería, caza y silvicultura (001)",3780,70,989,1291,1120,310
"Pesca (002)",289,,90,114,75,10
"Explotación de minas y canteras (003)",2710,5,749,1093,773,90
"Industrias manufactureras (004)",1102,21,371,348,299,63
"Suministro de electricidad, gas y agua (005)",71,1,10,30,28,2
"Construcción (006)",1667,13,608,623,373,50
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4458,147,1276,1580,1190,265
"Venta, mant.y rep. veh.autom.y motoc. (008)",590,16,220,185,144,25
"Comercio al por mayor (009)",229,5,84,94,38,8
"Comercio al por menor (010)",3639,126,972,1301,1008,232
"Hoteles y restaurantes (011)",1449,24,500,479,403,43
"Trans., almac. y comunicaciones (012)",2304,33,806,921,474,70
"Intermediación financiera (013)",117,,44,48,25,
"Activid.inmobil., empres. y alquileres (014)",1162,,389,469,286,18
"Admin.pub. y defensa; p. segur.soc afil (015)",734,,189,331,197,17
"Enseñanza (016)",1058,,134,555,350,19
"Servicios sociales y de salud (017)",343,1,64,159,114,5
"Otras activ. serv.comun.soc y personales (018)",803,23,288,293,177,22
"Hogares privados con servicio doméstico (019)",538,13,253,163,98,11
"Organiz. y organos extraterritoriales (020)",1,,,,1,
"Actividad economica no especificada (021)",769,11,234,275,206,43
"Desocupado (022)",921,15,479,254,138,35
"Hombres (023)",16278,257,5029,5848,4338,806
"Agric., ganadería, caza y silvicultura (024)",2840,58,765,904,859,254
"Pesca (025)",274,,90,105,69,10
"Explotación de minas y canteras (026)",2563,4,689,1040,743,87
"Industrias manufactureras (027)",895,19,323,277,222,54
"Suministro de electricidad, gas y agua (028)",67,1,9,30,25,2
"Construcción (029)",1626,13,589,610,364,50
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",2042,86,620,641,550,145
"Venta, mant.y rep. veh.autom.y motoc. (031)",534,12,196,163,140,23
"Comercio al por mayor (032)",136,4,52,51,24,5
"Comercio al por menor (033)",1372,70,372,427,386,117
"Hoteles y restaurantes (034)",411,8,143,114,125,21
"Trans., almac. y comunicaciones (035)",2091,31,705,845,442,68
"Intermediación financiera (036)",58,,16,24,18,
"Activid.inmobil., empres. y alquileres (037)",823,,245,338,223,17
"Admin.pub. y defensa; p. segur.soc afil (038)",468,,103,206,145,14
"Enseñanza (039)",366,,41,169,145,11
