"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",7719,25308,21097,,459,83.4,1.8
"De 12 a 14 años (001)",902,1,1,,,100,
"De 15 a 19 años (002)",1109,180,176,57,97.8,31.7,
"De 20 a 24 años (003)",754,750,725,114,96.7,15.2,
"De 25 a 29 años (004)",704,1407,1355,114,96.3,8.1,
"De 30 a 34 años (005)",663,2025,1916,79,94.6,3.9,
"De 35 a 39 años (006)",562,2471,2272,59,91.9,2.4,
"De 40 a 44 años (007)",519,2732,2444,29,89.5,1.1,
"De 45 a 49 años (008)",453,2810,2405,7,85.6,0.2,
"De 50 y más años (009)",2053,12932,9803,,75.8,,
"PEA (010)",1406,4414,3904,76,88.4,1.7,
"De 12 a 14 años (011)",9,,,,,,
"De 15 a 19 años (012)",106,18,17,5,94.4,27.8,
"De 20 a 24 años (013)",169,120,116,13,96.7,10.8,
"De 25 a 29 años (014)",206,286,274,25,95.8,8.7,
"De 30 a 34 años (015)",193,417,407,19,97.6,4.6,
"De 35 a 39 años (016)",167,599,562,9,93.8,1.5,
"De 40 a 44 años (017)",146,634,585,3,92.3,0.5,
"De 45 a 49 años (018)",104,543,503,2,92.6,0.4,
"De 50 y más años (019)",306,1797,1440,,80.1,,
"Ocupada (020)",1357,4338,3832,74,88.3,1.7,
"De 12 a 14 años (021)",8,,,,,,
"De 15 a 19 años (022)",96,17,16,5,94.1,29.4,
"De 20 a 24 años (023)",156,114,110,13,96.5,11.4,
"De 25 a 29 años (024)",194,271,259,25,95.6,9.2,
"De 30 a 34 años (025)",188,407,398,18,97.8,4.4,
"De 35 a 39 años (026)",164,578,543,8,93.9,1.4,
"De 40 a 44 años (027)",144,624,576,3,92.3,0.5,
"De 45 a 49 años (028)",103,533,493,2,92.5,0.4,
"De 50 y más años (029)",304,1794,1437,,80.1,,
"Desocupada (030)",49,76,72,2,94.7,2.6,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",10,1,1,,100,,
"De 20 a 24 años (033)",13,6,6,,100,,
"De 25 a 29 años (034)",12,15,15,,100,,
"De 30 a 34 años (035)",5,10,9,1,90,10,
"De 35 a 39 años (036)",3,21,19,1,90.5,4.8,
"De 40 a 44 años (037)",2,10,9,,90,,
