"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia PARINACOCHAS",,,,
"Viviendas particulares (001)",4715,3966,500,249
"Ocupantes presentes (002)",18378,15553,1924,901
"Casa independiente",,,,
"Viviendas particulares (004)",4646,3905,499,242
"Ocupantes presentes (005)",18088,15307,1909,872
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",28,28,,
"Ocupantes presentes (011)",127,127,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",26,26,,
"Ocupantes presentes (014)",94,94,,
"Choza o cabaña",,,,
"Viviendas particulares (016)",7,,,7
"Ocupantes presentes (017)",29,,,29
"Vivienda improvisada",,,,
"Viviendas particulares (019)",2,1,1,
"Ocupantes presentes (020)",20,5,15,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",6,6,,
"Ocupantes presentes (023)",20,20,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",4336,3673,463,200
"Ocupantes presentes (029)",16820,14316,1779,725
"Casa independiente",,,,
"Viviendas particulares (031)",4271,3615,462,194
"Ocupantes presentes (032)",16551,14082,1764,705
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",28,28,,
"Ocupantes presentes (038)",127,127,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",24,24,,
"Ocupantes presentes (041)",88,88,,
"Choza o cabaña",,,,
"Viviendas particulares (043)",6,,,6
"Ocupantes presentes (044)",20,,,20
"Vivienda improvisada",,,,
"Viviendas particulares (046)",2,1,1,
"Ocupantes presentes (047)",20,5,15,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",5,5,,
"Ocupantes presentes (050)",14,14,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",379,293,37,49
"Ocupantes presentes (056)",1558,1237,145,176
"Casa independiente",,,,
"Viviendas particulares (058)",375,290,37,48
"Ocupantes presentes (059)",1537,1225,145,167
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",2,2,,
"Ocupantes presentes (068)",6,6,,
"Choza o cabaña",,,,
"Viviendas particulares (070)",1,,,1
"Ocupantes presentes (071)",9,,,9
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,1,,
"Ocupantes presentes (077)",6,6,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",3654,3203,357,94
"Ocupantes presentes (110)",14496,12816,1305,375
"Casa independiente",,,,
"Viviendas particulares (112)",3592,3142,356,94
"Ocupantes presentes (113)",14235,12570,1290,375
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",28,28,,
"Ocupantes presentes (119)",127,127,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",26,26,,
"Ocupantes presentes (122)",94,94,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",2,1,1,
"Ocupantes presentes (128)",20,5,15,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",6,6,,
"Ocupantes presentes (131)",20,20,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",3350,2970,323,57
"Ocupantes presentes (137)",13190,11785,1168,237
"Casa independiente",,,,
"Viviendas particulares (139)",3291,2912,322,57
"Ocupantes presentes (140)",12941,11551,1153,237
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",28,28,,
"Ocupantes presentes (146)",127,127,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",24,24,,
"Ocupantes presentes (149)",88,88,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",2,1,1,
"Ocupantes presentes (155)",20,5,15,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",5,5,,
"Ocupantes presentes (158)",14,14,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",304,233,34,37
"Ocupantes presentes (164)",1306,1031,137,138
"Casa independiente",,,,
"Viviendas particulares (166)",301,230,34,37
"Ocupantes presentes (167)",1294,1019,137,138
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",2,2,,
"Ocupantes presentes (176)",6,6,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",1,1,,
"Ocupantes presentes (185)",6,6,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",1061,763,143,155
"Ocupantes presentes (218)",3882,2737,619,526
"Casa independiente",,,,
"Viviendas particulares (220)",1054,763,143,148
"Ocupantes presentes (221)",3853,2737,619,497
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",7,,,7
"Ocupantes presentes (233)",29,,,29
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",986,703,140,143
"Ocupantes presentes (245)",3630,2531,611,488
"Casa independiente",,,,
"Viviendas particulares (247)",980,703,140,137
"Ocupantes presentes (248)",3610,2531,611,468
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",6,,,6
"Ocupantes presentes (260)",20,,,20
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",75,60,3,12
"Ocupantes presentes (272)",252,206,8,38
"Casa independiente",,,,
"Viviendas particulares (274)",74,60,3,11
"Ocupantes presentes (275)",243,206,8,29
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",1,,,1
"Ocupantes presentes (287)",9,,,9
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
