"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia QUISPICANCHI (000)",1811,1143,668
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",182,166,16
"Hospital, clinica (004)",46,46,
"Cárcel, centro de readaptación social (005)",22,22,
"Aldea infantil, orfelinato, etc (007)",68,14,54
"Otro (008)",1098,500,598
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",395,395,
