"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTABAMBA (000)",3290,40,1302,1024,395,137,69,23,3,,297
"Sin Nivel (001)",1135,13,435,327,157,54,29,13,2,,105
"Educación Inicial (002)",4,,2,2,,,,,,,
"Primaria (003)",1185,20,528,361,109,43,28,7,,,89
"Secundaria (004)",704,5,290,247,70,18,7,2,1,,64
"Sup. no Univ. Incompleta (005)",65,,18,24,10,1,2,,,,10
"Sup. no Univ. Completa (006)",82,,11,33,20,8,3,,,,7
"Sup. Univ. Incompleta (007)",33,,7,8,7,2,,1,,,8
"Sup. Univ. Completa (008)",82,2,11,22,22,11,,,,,14
,,,,,,,,,,,
"URBANA (010)",2292,30,893,702,273,113,49,16,2,,214
"Sin Nivel (011)",643,9,253,172,85,39,14,8,1,,62
"Educación Inicial (012)",2,,1,1,,,,,,,
"Primaria (013)",822,15,359,244,71,36,24,6,,,67
"Secundaria (014)",583,4,237,204,60,16,6,1,1,,54
"Sup. no Univ. Incompleta (015)",56,,16,23,9,1,2,,,,5
"Sup. no Univ. Completa (016)",77,,10,30,20,8,3,,,,6
"Sup. Univ. Incompleta (017)",31,,6,8,7,2,,1,,,7
"Sup. Univ. Completa (018)",78,2,11,20,21,11,,,,,13
,,,,,,,,,,,
"RURAL (020)",998,10,409,322,122,24,20,7,1,,83
"Sin Nivel (021)",492,4,182,155,72,15,15,5,1,,43
"Educación Inicial (022)",2,,1,1,,,,,,,
"Primaria (023)",363,5,169,117,38,7,4,1,,,22
"Secundaria (024)",121,1,53,43,10,2,1,1,,,10
"Sup. no Univ. Incompleta (025)",9,,2,1,1,,,,,,5
"Sup. no Univ. Completa (026)",5,,1,3,,,,,,,1
"Sup. Univ. Incompleta (027)",2,,1,,,,,,,,1
"Sup. Univ. Completa (028)",4,,,2,1,,,,,,1
