"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia OXAPAMPA (000)",116,109,7
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",74,73,1
"Casa pensión (003)",8,7,1
"Hospital, clinica (004)",7,6,1
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",2,1,1
"Otro (008)",14,11,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",10,10,
