"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LUYA (000)",163,18,83,40,13,9
"Sin nivel (001)",14,2,4,7,,1
"Primaria (003)",78,14,32,16,8,8
"Secundaria (004)",47,2,30,12,3,
"Superior no univ. incompleta (005)",6,,2,3,1,
"Superior no univ. completa (006)",14,,11,2,1,
"Superior univ. incompleta (007)",1,,1,,,
"Superior univ. completa (008)",3,,3,,,
"Hombres (010)",114,14,53,31,10,6
"Sin nivel (011)",9,1,3,5,,
"Primaria (013)",62,11,25,13,7,6
"Secundaria (014)",32,2,19,9,2,
"Superior no univ. incompleta (015)",5,,2,3,,
"Superior no univ. completa (016)",5,,3,1,1,
"Superior univ. completa (018)",1,,1,,,
"Mujeres (020)",49,4,30,9,3,3
"Sin nivel (021)",5,1,1,2,,1
"Primaria (023)",16,3,7,3,1,2
"Secundaria (024)",15,,11,3,1,
"Superior no univ. incompleta (025)",1,,,,1,
"Superior no univ. completa (026)",9,,8,1,,
"Superior univ. incompleta (027)",1,,1,,,
"Superior univ. completa (028)",2,,2,,,
,,,,,,
"Area Urbana (030)",100,7,50,22,12,9
"Sin nivel (031)",8,2,2,3,,1
"Primaria (033)",40,4,15,6,7,8
"Secundaria (034)",33,1,21,8,3,
"Superior no univ. incompleta (035)",6,,2,3,1,
"Superior no univ. completa (036)",10,,7,2,1,
"Superior univ. completa (038)",3,,3,,,
"Hombres (040)",75,6,34,19,10,6
"Sin nivel (041)",5,1,2,2,,
"Primaria (043)",35,4,12,6,7,6
"Secundaria (044)",24,1,14,7,2,
"Superior no univ. incompleta (045)",5,,2,3,,
"Superior no univ. completa (046)",5,,3,1,1,
"Superior univ. completa (048)",1,,1,,,
"Mujeres (050)",25,1,16,3,2,3
"Sin nivel (051)",3,1,,1,,1
"Primaria (053)",5,,3,,,2
"Secundaria (054)",9,,7,1,1,
"Superior no univ. incompleta (055)",1,,,,1,
"Superior no univ. completa (056)",5,,4,1,,
"Superior univ. completa (058)",2,,2,,,
,,,,,,
"Area Rural (060)",63,11,33,18,1,
"Sin nivel (061)",6,,2,4,,
"Primaria (063)",38,10,17,10,1,
"Secundaria (064)",14,1,9,4,,
"Superior no univ. completa (066)",4,,4,,,
"Superior univ. incompleta (067)",1,,1,,,
"Hombres (070)",39,8,19,12,,
"Sin nivel (071)",4,,1,3,,
"Primaria (073)",27,7,13,7,,
"Secundaria (074)",8,1,5,2,,
"Mujeres (080)",24,3,14,6,1,
"Sin nivel (081)",2,,1,1,,
"Primaria (083)",11,3,4,3,1,
"Secundaria (084)",6,,4,2,,
"Superior no univ. completa (086)",4,,4,,,
"Superior univ. incompleta (087)",1,,1,,,
