"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YUNGAY (000)",20294,19832,6510,2345,2407,1828,2820,1924,1123,875,462,56844
"De 12 a 14 años (001)",2039,2031,2021,10,,,,,,,8,10
"De 15 a 19 años (002)",2796,2763,2453,266,37,6,1,,,,33,362
"De 20 a 24 años (003)",2453,2296,1038,748,358,122,28,2,,,157,1956
"De 25 a 29 años (004)",2037,1931,347,524,543,291,200,23,3,,106,3496
"De 30 a 34 años (005)",1921,1878,155,294,529,350,423,110,15,2,43,5090
"De 35 a 39 años (006)",1721,1695,98,159,334,340,455,237,58,14,26,5976
"De 40 a 44 años (007)",1383,1362,74,94,162,183,399,279,130,41,21,6073
"De 45 a 49 años (008)",1207,1187,60,61,127,137,289,269,148,96,20,6086
"De 50 y más años (009)",4737,4689,264,189,317,399,1025,1004,769,722,48,27795
"PEA (010)",3980,3824,976,576,677,434,596,308,160,97,156,10276
"De 12 a 14 años (011)",65,64,64,,,,,,,,1,
"De 15 a 19 años (012)",325,320,284,29,6,1,,,,,5,44
"De 20 a 24 años (013)",500,456,253,129,62,10,2,,,,44,291
"De 25 a 29 años (014)",497,450,158,131,108,38,14,1,,,47,525
"De 30 a 34 años (015)",515,494,65,121,165,57,75,9,2,,21,1012
"De 35 a 39 años (016)",496,484,45,64,135,111,92,28,8,1,12,1311
"De 40 a 44 años (017)",402,392,29,33,71,74,112,56,14,3,10,1413
"De 45 a 49 años (018)",297,291,22,26,47,40,79,48,22,7,6,1164
"De 50 y más años (019)",883,873,56,43,83,103,222,166,114,86,10,4516
"Ocupada (020)",3774,3637,854,543,666,427,590,302,160,95,137,10112
"De 12 a 14 años (021)",58,58,58,,,,,,,,,
"De 15 a 19 años (022)",279,275,244,24,6,1,,,,,4,39
