"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia URUBAMBA (000)",20210,301,6518,7215,4850,1326
"Empleado (001)",4380,16,1801,1718,781,64
"Obrero (002)",2759,23,1073,963,613,87
"Trabajador independiente (003)",9804,44,2240,3706,2837,977
"Empleador o patrono (004)",362,1,73,130,116,42
"Trabajador familiar no remunerado (005)",1997,174,813,498,378,134
"Trabajador del hogar (006)",383,33,239,61,42,8
"Desocupado (008)",525,10,279,139,83,14
"Hombres (009)",13743,202,4208,4883,3480,970
"Empleado (010)",2672,5,991,1087,540,49
"Obrero (011)",2538,18,967,900,576,77
"Trabajador independiente (012)",6665,33,1413,2468,2021,730
"Empleador o patrono (013)",262,1,49,93,89,30
"Trabajador familiar no remunerado (014)",1158,119,564,233,173,69
"Trabajador del hogar (015)",76,19,43,6,7,1
"Desocupado (017)",372,7,181,96,74,14
"Mujeres (018)",6467,99,2310,2332,1370,356
"Empleado (019)",1708,11,810,631,241,15
"Obrero (020)",221,5,106,63,37,10
"Trabajador independiente (021)",3139,11,827,1238,816,247
"Empleador o patrono (022)",100,,24,37,27,12
"Trabajador familiar no remunerado (023)",839,55,249,265,205,65
"Trabajador del hogar (024)",307,14,196,55,35,7
"Desocupado (026)",153,3,98,43,9,
,,,,,,
"URBANA (027)",11520,196,3978,4146,2582,618
"Empleado (028)",3676,15,1490,1453,666,52
"Obrero (029)",1562,16,622,522,342,60
"Trabajador independiente (030)",4688,26,1183,1786,1282,411
"Empleador o patrono (031)",263,1,49,95,85,33
"Trabajador familiar no remunerado (032)",707,105,256,166,128,52
"Trabajador del hogar (033)",289,28,190,40,27,4
"Desocupado (035)",335,5,188,84,52,6
"Hombres (036)",6927,122,2292,2457,1648,408
"Empleado (037)",2195,5,802,897,452,39
"Obrero (038)",1404,13,544,476,318,53
"Trabajador independiente (039)",2515,17,620,904,712,262
"Empleador o patrono (040)",185,1,32,66,64,22
"Trabajador familiar no remunerado (041)",359,66,152,63,53,25
"Trabajador del hogar (042)",62,16,35,5,5,1
"Desocupado (044)",207,4,107,46,44,6
"Mujeres (045)",4593,74,1686,1689,934,210
"Empleado (046)",1481,10,688,556,214,13
"Obrero (047)",158,3,78,46,24,7
"Trabajador independiente (048)",2173,9,563,882,570,149
"Empleador o patrono (049)",78,,17,29,21,11
"Trabajador familiar no remunerado (050)",348,39,104,103,75,27
"Trabajador del hogar (051)",227,12,155,35,22,3
"Desocupado (053)",128,1,81,38,8,
,,,,,,
"RURAL (054)",8690,105,2540,3069,2268,708
"Empleado (055)",704,1,311,265,115,12
"Obrero (056)",1197,7,451,441,271,27
"Trabajador independiente (057)",5116,18,1057,1920,1555,566
"Empleador o patrono (058)",99,,24,35,31,9
"Trabajador familiar no remunerado (059)",1290,69,557,332,250,82
"Trabajador del hogar (060)",94,5,49,21,15,4
"Desocupado (062)",190,5,91,55,31,8
"Hombres (063)",6816,80,1916,2426,1832,562
"Empleado (064)",477,,189,190,88,10
"Obrero (065)",1134,5,423,424,258,24
"Trabajador independiente (066)",4150,16,793,1564,1309,468
"Empleador o patrono (067)",77,,17,27,25,8
"Trabajador familiar no remunerado (068)",799,53,412,170,120,44
"Trabajador del hogar (069)",14,3,8,1,2,
"Desocupado (071)",165,3,74,50,30,8
"Mujeres (072)",1874,25,624,643,436,146
"Empleado (073)",227,1,122,75,27,2
"Obrero (074)",63,2,28,17,13,3
"Trabajador independiente (075)",966,2,264,356,246,98
"Empleador o patrono (076)",22,,7,8,6,1
"Trabajador familiar no remunerado (077)",491,16,145,162,130,38
"Trabajador del hogar (078)",80,2,41,20,13,4
"Desocupado (080)",25,2,17,5,1,
