"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia NAZCA (000)",16357,256,5687,4798,1940,759,344,91,11,,2471
"Catolica (001)",14289,226,4950,4205,1699,675,307,81,8,,2138
"Cristiana / Evangelica (002)",1253,19,445,368,154,52,25,8,2,,180
"Otra (003)",528,7,186,142,62,24,11,2,1,,93
"Ninguna (004)",287,4,106,83,25,8,1,,,,60
,,,,,,,,,,,
"URBANA (006)",14423,196,4837,4320,1757,711,324,84,10,,2184
"Catolica (007)",12540,169,4181,3780,1532,631,288,76,7,,1876
"Cristiana / Evangelica (008)",1119,17,385,330,141,49,24,7,2,,164
"Otra (009)",504,7,177,134,60,24,11,1,1,,89
"Ninguna (010)",260,3,94,76,24,7,1,,,,55
,,,,,,,,,,,
"RURAL (012)",1934,60,850,478,183,48,20,7,1,,287
"Catolica (013)",1749,57,769,425,167,44,19,5,1,,262
"Cristiana / Evangelica (014)",134,2,60,38,13,3,1,1,,,16
"Otra (015)",24,,9,8,2,,,1,,,4
"Ninguna (016)",27,1,12,7,1,1,,,,,5
