"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SAN IGNACIO (000)",130377,3099,50813,33497,22129,15334,5505
"Casa independiente (001)",126300,2985,49213,32330,21421,14973,5378
"Departamento en edificio (002)",89,1,34,27,18,8,1
"Vivienda en quinta (003)",663,19,224,196,146,61,17
"Vivienda en casa de vecindad (004)",895,19,296,321,143,89,27
"Choza o cabaña (005)",2314,73,1000,595,373,195,78
"Vivienda improvisada (006)",31,,13,8,7,3,
"Local no destinado para hab.humana (007)",72,2,29,18,17,5,1
"Otro tipo (008)",13,,4,2,4,,3
,,,,,,,
"URBANA (009)",19777,392,6684,5396,3817,2602,886
"Casa independiente (010)",18070,352,6106,4838,3496,2440,838
"Departamento en edificio (011)",89,1,34,27,18,8,1
"Vivienda en quinta (012)",663,19,224,196,146,61,17
"Vivienda en casa de vecindad (013)",895,19,296,321,143,89,27
"Vivienda improvisada (015)",31,,13,8,7,3,
"Local no destinado para hab.humana (016)",25,1,11,6,6,1,
"Otro tipo (017)",4,,,,1,,3
,,,,,,,
"RURAL (018)",110600,2707,44129,28101,18312,12732,4619
"Casa independiente (019)",108230,2633,43107,27492,17925,12533,4540
"Choza o cabaña (023)",2314,73,1000,595,373,195,78
"Local no destinado para hab.humana (025)",47,1,18,12,11,4,1
"Otro tipo (026)",9,,4,2,3,,
