"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANTA (000)",17200,371,4878,5722,4669,1560
"Agric., ganadería, caza y silvicultura (001)",9741,256,2213,3011,3004,1257
"Pesca (002)",2,1,1,,,
"Explotación de minas y canteras (003)",21,,9,8,4,
"Industrias manufactureras (004)",574,13,263,164,109,25
"Suministro de electricidad, gas y agua (005)",32,,17,10,5,
"Construcción (006)",1069,8,342,430,267,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1672,34,497,648,403,90
"Venta, mant.y rep. veh.autom.y motoc. (008)",202,,110,67,25,
"Comercio al por mayor (009)",64,1,19,26,14,4
"Comercio al por menor (010)",1406,33,368,555,364,86
"Hoteles y restaurantes (011)",581,18,188,170,152,53
"Trans., almac. y comunicaciones (012)",823,6,339,313,152,13
"Intermediación financiera (013)",6,,5,1,,
"Activid.inmobil., empres. y alquileres (014)",195,,65,84,40,6
"Admin.pub. y defensa; p. segur.soc afil (015)",452,,142,184,119,7
"Enseñanza (016)",521,,162,231,124,4
"Servicios sociales y de salud (017)",122,,57,48,16,1
"Otras activ. serv.comun.soc y personales (018)",178,5,76,60,34,3
"Hogares privados con servicio doméstico (019)",186,20,115,22,26,3
"Actividad economica no especificada (021)",482,3,132,162,131,54
"Desocupado (022)",543,7,255,176,83,22
"Hombres (023)",12604,260,3401,4216,3524,1203
"Agric., ganadería, caza y silvicultura (024)",8075,194,1777,2538,2502,1064
"Pesca (025)",1,1,,,,
"Explotación de minas y canteras (026)",20,,8,8,4,
"Industrias manufactureras (027)",434,6,195,124,91,18
"Suministro de electricidad, gas y agua (028)",31,,16,10,5,
"Construcción (029)",1053,8,330,426,267,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",656,20,241,226,137,32
"Venta, mant.y rep. veh.autom.y motoc. (031)",188,,103,62,23,
"Comercio al por mayor (032)",32,1,9,11,9,2
"Comercio al por menor (033)",436,19,129,153,105,30
"Hoteles y restaurantes (034)",100,6,58,21,12,3
"Trans., almac. y comunicaciones (035)",769,6,304,299,147,13
"Intermediación financiera (036)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (037)",154,,51,65,33,5
"Admin.pub. y defensa; p. segur.soc afil (038)",354,,93,149,106,6
"Enseñanza (039)",254,,52,111,88,3
"Servicios sociales y de salud (040)",45,,16,20,8,1
"Otras activ. serv.comun.soc y personales (041)",98,4,32,36,23,3
