"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUAMALIES (000)",1668,322,1346
"Sin nivel (001)",275,22,253
"Educación inicial (002)",1,,1
"Primaria (003)",871,155,716
"Secundaria (004)",430,111,319
"Superior no univ. incompleta (005)",12,6,6
"Superior no univ. completa (006)",53,24,29
"Superior univ. incompleta (007)",13,1,12
"Superior univ. completa (008)",13,3,10
"Hombres (010)",1136,224,912
"Sin nivel (011)",148,10,138
"Educación inicial (012)",1,,1
"Primaria (013)",587,111,476
"Secundaria (014)",330,80,250
"Superior no univ. incompleta (015)",11,5,6
"Superior no univ. completa (016)",38,15,23
"Superior univ. incompleta (017)",11,1,10
"Superior univ. completa (018)",10,2,8
"Mujeres (020)",532,98,434
"Sin nivel (021)",127,12,115
"Primaria (023)",284,44,240
"Secundaria (024)",100,31,69
"Superior no univ. incompleta (025)",1,1,
"Superior no univ. completa (026)",15,9,6
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",3,1,2
,,,
"AREA URBANA (030)",347,64,283
"Sin nivel (031)",29,2,27
"Primaria (033)",137,13,124
"Secundaria (034)",121,28,93
"Superior no univ. incompleta (035)",7,3,4
"Superior no univ. completa (036)",38,15,23
"Superior univ. incompleta (037)",7,1,6
"Superior univ. completa (038)",8,2,6
"Hombres (040)",245,43,202
"Sin nivel (041)",8,,8
"Primaria (043)",97,11,86
"Secundaria (044)",94,17,77
"Superior no univ. incompleta (045)",7,3,4
"Superior no univ. completa (046)",27,10,17
"Superior univ. incompleta (047)",7,1,6
"Superior univ. completa (048)",5,1,4
"Mujeres (050)",102,21,81
"Sin nivel (051)",21,2,19
"Primaria (053)",40,2,38
"Secundaria (054)",27,11,16
"Superior no univ. completa (056)",11,5,6
"Superior univ. completa (058)",3,1,2
,,,
"AREA RURAL (060)",1321,258,1063
"Sin nivel (061)",246,20,226
"Educación inicial (062)",1,,1
"Primaria (063)",734,142,592
"Secundaria (064)",309,83,226
"Superior no univ. incompleta (065)",5,3,2
"Superior no univ. completa (066)",15,9,6
"Superior univ. incompleta (067)",6,,6
"Superior univ. completa (068)",5,1,4
"Hombres (070)",891,181,710
"Sin nivel (071)",140,10,130
"Educación inicial (072)",1,,1
"Primaria (073)",490,100,390
"Secundaria (074)",236,63,173
"Superior no univ. incompleta (075)",4,2,2
"Superior no univ. completa (076)",11,5,6
"Superior univ. incompleta (077)",4,,4
"Superior univ. completa (078)",5,1,4
"Mujeres (080)",430,77,353
"Sin nivel (081)",106,10,96
"Primaria (083)",244,42,202
"Secundaria (084)",73,20,53
"Superior no univ. incompleta (085)",1,1,
"Superior no univ. completa (086)",4,4,
"Superior univ. incompleta (087)",2,,2
