"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BONGARA (000)",7074,125,3048,2198,679,220,107,26,5,,666
"Catolica (001)",5072,81,2127,1591,531,164,88,20,2,,468
"Cristiana / Evangelica (002)",1241,22,547,399,85,39,13,5,1,,130
"Otra (003)",601,17,287,173,56,14,5,1,2,,46
"Ninguna (004)",160,5,87,35,7,3,1,,,,22
,,,,,,,,,,,
"URBANA (006)",4425,65,1762,1420,481,164,84,22,5,,422
"Catolica (007)",3310,43,1278,1065,398,127,73,17,2,,307
"Cristiana / Evangelica (008)",729,13,312,237,53,25,8,4,1,,76
"Otra (009)",305,6,130,100,24,9,3,1,2,,30
"Ninguna (010)",81,3,42,18,6,3,,,,,9
,,,,,,,,,,,
"RURAL (012)",2649,60,1286,778,198,56,23,4,,,244
"Catolica (013)",1762,38,849,526,133,37,15,3,,,161
"Cristiana / Evangelica (014)",512,9,235,162,32,14,5,1,,,54
"Otra (015)",296,11,157,73,32,5,2,,,,16
"Ninguna (016)",79,2,45,17,1,,1,,,,13
