"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LIMA (000)",3281878,1415468,504083,1069174,71884,67558,153711
"Conviviente (001)",827438,268679,172558,321497,16368,18520,29816
"Separado(a) (002)",154534,56393,20585,60568,2913,1352,12723
"Casado(a) (003)",1022252,475395,112465,357270,32383,23475,21264
"Viudo(a) (004)",50733,13963,4949,25367,1436,1010,4008
"Divorciado(a) (005)",31990,17489,1705,10460,1266,210,860
"Soltero(a) (006)",1194931,583549,191821,294012,17518,22991,85040
"Hombres (008)",1944792,770192,408508,687938,48095,22875,7184
"Conviviente (009)",548774,166033,143852,221074,11536,4614,1665
"Separado(a) (010)",58316,19213,12127,25046,1345,381,204
"Casado(a) (011)",647589,289342,96372,232736,23061,4698,1380
"Viudo(a) (012)",17035,4330,3187,8582,517,305,114
"Divorciado(a) (013)",14372,6811,1275,5454,706,90,36
"Soltero(a) (014)",658706,284463,151695,195046,10930,12787,3785
"Mujeres (016)",1337086,645276,95575,381236,23789,44683,146527
"Conviviente (017)",278664,102646,28706,100423,4832,13906,28151
"Separado(a) (018)",96218,37180,8458,35522,1568,971,12519
"Casado(a) (019)",374663,186053,16093,124534,9322,18777,19884
"Viudo(a) (020)",33698,9633,1762,16785,919,705,3894
"Divorciado(a) (021)",17618,10678,430,5006,560,120,824
"Soltero(a) (022)",536225,299086,40126,98966,6588,10204,81255
,,,,,,,
"URBANA (024)",3277690,1415058,502646,1067444,71814,67115,153613
"Conviviente (025)",825838,268538,171929,320823,16350,18403,29795
"Separado(a) (026)",154354,56375,20524,60485,2909,1347,12714
"Casado(a) (027)",1021150,475286,112162,356722,32352,23376,21252
"Viudo(a) (028)",50650,13958,4933,25312,1433,1008,4006
"Divorciado(a) (029)",31971,17487,1703,10445,1266,210,860
"Soltero(a) (030)",1193727,583414,191395,293657,17504,22771,84986
"Hombres (032)",1941810,769946,407381,686620,48040,22649,7174
"Conviviente (033)",547605,165940,143362,220539,11521,4580,1663
"Separado(a) (034)",58237,19206,12095,25010,1342,380,204
"Casado(a) (035)",646807,289278,96132,232300,23035,4684,1378
"Viudo(a) (036)",16998,4329,3176,8558,516,305,114
"Divorciado(a) (037)",14357,6809,1273,5443,706,90,36
"Soltero(a) (038)",657806,284384,151343,194770,10920,12610,3779
"Mujeres (040)",1335880,645112,95265,380824,23774,44466,146439
"Conviviente (041)",278233,102598,28567,100284,4829,13823,28132
"Separado(a) (042)",96117,37169,8429,35475,1567,967,12510
"Casado(a) (043)",374343,186008,16030,124422,9317,18692,19874
"Viudo(a) (044)",33652,9629,1757,16754,917,703,3892
"Divorciado(a) (045)",17614,10678,430,5002,560,120,824
"Soltero(a) (046)",535921,299030,40052,98887,6584,10161,81207
,,,,,,,
"RURAL (048)",4188,410,1437,1730,70,443,98
"Conviviente (049)",1600,141,629,674,18,117,21
"Separado(a) (050)",180,18,61,83,4,5,9
"Casado(a) (051)",1102,109,303,548,31,99,12
"Viudo(a) (052)",83,5,16,55,3,2,2
"Divorciado(a) (053)",19,2,2,15,,,
"Soltero(a) (054)",1204,135,426,355,14,220,54
"Hombres (056)",2982,246,1127,1318,55,226,10
"Conviviente (057)",1169,93,490,535,15,34,2
"Separado(a) (058)",79,7,32,36,3,1,
"Casado(a) (059)",782,64,240,436,26,14,2
"Viudo(a) (060)",37,1,11,24,1,,
"Divorciado(a) (061)",15,2,2,11,,,
"Soltero(a) (062)",900,79,352,276,10,177,6
"Mujeres (064)",1206,164,310,412,15,217,88
"Conviviente (065)",431,48,139,139,3,83,19
"Separado(a) (066)",101,11,29,47,1,4,9
"Casado(a) (067)",320,45,63,112,5,85,10
"Viudo(a) (068)",46,4,5,31,2,2,2
"Divorciado(a) (069)",4,,,4,,,
"Soltero(a) (070)",304,56,74,79,4,43,48
