"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SANDIA (000)",949,368,581
"De 14 a 29 años (001)",565,296,269
"De 30 a 44 años (002)",253,62,191
"De 45 a 64 años (003)",110,10,100
"De 65 y más años (004)",21,,21
"Hombres (005)",765,258,507
"De 14 a 29 años (006)",424,194,230
"De 30 a 44 años (007)",224,55,169
"De 45 a 64 años (008)",98,9,89
"De 65 y más años (009)",19,,19
"Mujeres (010)",184,110,74
"De 14 a 29 años (011)",141,102,39
"De 30 a 44 años (012)",29,7,22
"De 45 a 64 años (013)",12,1,11
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",365,126,239
"De 14 a 29 años (016)",207,106,101
"De 30 a 44 años (017)",105,16,89
"De 45 a 64 años (018)",46,4,42
"De 65 y más años (019)",7,,7
"Hombres (020)",272,77,195
"De 14 a 29 años (021)",143,62,81
"De 30 a 44 años (022)",86,11,75
"De 45 a 64 años (023)",37,4,33
"De 65 y más años (024)",6,,6
"Mujeres (025)",93,49,44
"De 14 a 29 años (026)",64,44,20
"De 30 a 44 años (027)",19,5,14
"De 45 a 64 años (028)",9,,9
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",584,242,342
"De 14 a 29 años (031)",358,190,168
"De 30 a 44 años (032)",148,46,102
"De 45 a 64 años (033)",64,6,58
"De 65 y más años (034)",14,,14
"Hombres (035)",493,181,312
"De 14 a 29 años (036)",281,132,149
"De 30 a 44 años (037)",138,44,94
"De 45 a 64 años (038)",61,5,56
"De 65 y más años (039)",13,,13
"Mujeres (040)",91,61,30
"De 14 a 29 años (041)",77,58,19
"De 30 a 44 años (042)",10,2,8
"De 45 a 64 años (043)",3,1,2
"De 65 y más años (044)",1,,1
