"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LORETO (000)",13193,627,7481,2593,605,185,116,38,8,,1540
"Sin Nivel (001)",2049,211,1005,340,70,49,23,15,2,,334
"Educación Inicial (002)",16,2,8,1,1,,,,,,4
"Primaria (003)",6867,349,4334,1126,216,68,63,17,4,,690
"Secundaria (004)",3344,61,1923,776,159,27,16,4,,,378
"Sup. no Univ. Incompleta (005)",250,1,84,93,35,6,1,,1,,29
"Sup. no Univ. Completa (006)",269,3,64,102,38,14,5,1,,,42
"Sup. Univ. Incompleta (007)",128,,27,52,21,4,1,1,,,22
"Sup. Univ. Completa (008)",270,,36,103,65,17,7,,1,,41
,,,,,,,,,,,
"URBANA (010)",5812,200,3057,1289,335,98,71,28,3,,731
"Sin Nivel (011)",403,33,186,66,13,7,8,8,,,82
"Educación Inicial (012)",2,,1,1,,,,,,,
"Primaria (013)",2668,127,1629,451,83,35,39,14,1,,289
"Secundaria (014)",2042,37,1098,505,122,21,12,4,,,243
"Sup. no Univ. Incompleta (015)",191,1,57,78,27,6,1,,1,,20
"Sup. no Univ. Completa (016)",223,2,46,79,34,14,5,1,,,42
"Sup. Univ. Incompleta (017)",93,,15,41,13,3,1,1,,,19
"Sup. Univ. Completa (018)",190,,25,68,43,12,5,,1,,36
,,,,,,,,,,,
"RURAL (020)",7381,427,4424,1304,270,87,45,10,5,,809
"Sin Nivel (021)",1646,178,819,274,57,42,15,7,2,,252
"Educación Inicial (022)",14,2,7,,1,,,,,,4
"Primaria (023)",4199,222,2705,675,133,33,24,3,3,,401
"Secundaria (024)",1302,24,825,271,37,6,4,,,,135
"Sup. no Univ. Incompleta (025)",59,,27,15,8,,,,,,9
"Sup. no Univ. Completa (026)",46,1,18,23,4,,,,,,
"Sup. Univ. Incompleta (027)",35,,12,11,8,1,,,,,3
"Sup. Univ. Completa (028)",80,,11,35,22,5,2,,,,5
