"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia TRUJILLO",,,,,,,,,
"Hogares (001)",192580,17160,7098,3886,2454,1397,898,827,158860
"Ocupantes presentes (002)",805409,72272,28660,14928,9473,5897,4055,4352,665772
"Casa independiente",,,,,,,,,
"Hogares (004)",176048,15834,6620,3583,2291,1316,844,782,144778
"Ocupantes presentes (005)",748846,67935,27099,13982,8892,5583,3844,4150,617361
"Departamento en edificio",,,,,,,,,
"Hogares (007)",9791,833,299,182,111,51,27,23,8265
"Ocupantes presentes (008)",33366,2672,987,560,381,183,99,110,28374
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",3195,317,99,58,26,15,12,8,2660
"Ocupantes presentes (011)",11458,1097,365,190,83,62,54,24,9583
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",1957,118,49,41,15,9,10,10,1705
"Ocupantes presentes (014)",6924,428,136,133,76,45,38,58,6010
"Choza o cabaña",,,,,,,,,
"Hogares (016)",71,3,2,1,1,,,,64
"Ocupantes presentes (017)",299,7,4,3,4,,,,281
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1105,36,24,14,9,3,3,2,1014
"Ocupantes presentes (020)",3300,83,54,39,33,13,13,5,3060
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",388,19,4,7,1,3,2,2,350
"Ocupantes presentes (023)",1122,50,11,21,4,11,7,5,1013
"Otro tipo",,,,,,,,,
"Hogares (025)",25,,1,,,,,,24
"Ocupantes presentes (026)",94,,4,,,,,,90
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",187883,16946,7015,3861,2440,1386,893,822,154520
"Ocupantes presentes (029)",785917,71420,28299,14818,9406,5847,4039,4333,647755
"Casa independiente",,,,,,,,,
"Hogares (031)",171428,15623,6539,3559,2278,1305,839,777,140508
"Ocupantes presentes (032)",729668,67090,26742,13875,8829,5533,3828,4131,599640
"Departamento en edificio",,,,,,,,,
"Hogares (034)",9791,833,299,182,111,51,27,23,8265
"Ocupantes presentes (035)",33366,2672,987,560,381,183,99,110,28374
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",3195,317,99,58,26,15,12,8,2660
"Ocupantes presentes (038)",11458,1097,365,190,83,62,54,24,9583
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",1957,118,49,41,15,9,10,10,1705
"Ocupantes presentes (041)",6924,428,136,133,76,45,38,58,6010
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1105,36,24,14,9,3,3,2,1014
"Ocupantes presentes (047)",3300,83,54,39,33,13,13,5,3060
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",383,19,4,7,1,3,2,2,345
"Ocupantes presentes (050)",1108,50,11,21,4,11,7,5,999
"Otro tipo",,,,,,,,,
"Hogares (052)",24,,1,,,,,,23
"Ocupantes presentes (053)",93,,4,,,,,,89
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4697,214,83,25,14,11,5,5,4340
"Ocupantes presentes (056)",19492,852,361,110,67,50,16,19,18017
"Casa independiente",,,,,,,,,
"Hogares (058)",4620,211,81,24,13,11,5,5,4270
"Ocupantes presentes (059)",19178,845,357,107,63,50,16,19,17721
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",71,3,2,1,1,,,,64
"Ocupantes presentes (071)",299,7,4,3,4,,,,281
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",5,,,,,,,,5
"Ocupantes presentes (077)",14,,,,,,,,14
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,,1
