"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia VIRU (000)",19197,341,8008,5502,1554,575,238,88,19,,2872
"Conviviente (001)",9820,180,4433,2866,714,244,90,36,8,,1249
"Separado(a) (002)",1580,43,723,473,130,48,21,9,2,,131
"Casado(a) (003)",5151,81,2118,1617,555,210,85,26,7,,452
"Viudo(a) (004)",1004,22,442,283,76,32,25,11,1,,112
"Divorciado(a) (005)",61,1,23,15,7,3,2,,,,10
"Soltero(a) (006)",1581,14,269,248,72,38,15,6,1,,918
,,,,,,,,,,,
"URBANA (008)",14799,237,5992,4220,1247,469,199,70,18,,2347
"Conviviente (009)",7620,117,3347,2221,578,203,77,27,7,,1043
"Separado(a) (010)",1279,32,582,382,105,38,16,8,2,,114
"Casado(a) (011)",3862,60,1520,1209,430,167,72,22,7,,375
"Viudo(a) (012)",734,18,295,200,63,30,21,11,1,,95
"Divorciado(a) (013)",50,,17,14,7,2,1,,,,9
"Soltero(a) (014)",1254,10,231,194,64,29,12,2,1,,711
,,,,,,,,,,,
"RURAL (016)",4398,104,2016,1282,307,106,39,18,1,,525
"Conviviente (017)",2200,63,1086,645,136,41,13,9,1,,206
"Separado(a) (018)",301,11,141,91,25,10,5,1,,,17
"Casado(a) (019)",1289,21,598,408,125,43,13,4,,,77
"Viudo(a) (020)",270,4,147,83,13,2,4,,,,17
"Divorciado(a) (021)",11,1,6,1,,1,1,,,,1
"Soltero(a) (022)",327,4,38,54,8,9,3,4,,,207
