"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHUCUITO",,,,,,,,,
"Viviendas particulares (001)",595,365,82,53,23,4,2,8,58
"Ocupantes presentes (002)",2272,1392,325,207,97,19,9,37,186
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",586,359,82,53,23,3,2,8,56
"Ocupantes presentes (005)",2242,1373,325,207,97,14,9,37,180
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,1,,,,,,,
"Ocupantes presentes (011)",4,4,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5,4,,,,1,,,
"Ocupantes presentes (014)",18,13,,,,5,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",3,1,,,,,,,2
"Ocupantes presentes (017)",8,2,,,,,,,6
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",188,157,13,1,7,3,1,2,4
"Ocupantes presentes (029)",753,645,32,2,32,18,5,7,12
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",182,152,13,1,7,2,1,2,4
"Ocupantes presentes (032)",731,628,32,2,32,13,5,7,12
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,1,,,,,,,
"Ocupantes presentes (038)",4,4,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5,4,,,,1,,,
"Ocupantes presentes (041)",18,13,,,,5,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",407,208,69,52,16,1,1,6,54
"Ocupantes presentes (056)",1519,747,293,205,65,1,4,30,174
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",404,207,69,52,16,1,1,6,52
"Ocupantes presentes (059)",1511,745,293,205,65,1,4,30,168
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",3,1,,,,,,,2
"Ocupantes presentes (071)",8,2,,,,,,,6
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
