"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TARMA (000)",111056,1696,31920,29017,21711,17633,9079
"Jefe o Jefa (001)",28765,,32,3657,9220,10031,5825
"Esposa(o) / compañera(o) (002)",17769,,37,3745,6766,5416,1805
"Hijo(a) / hijastro(a) (003)",47469,1100,24941,16818,3748,839,23
"Yerno / nuera (004)",1568,,16,905,543,101,3
"Nieto(a) (005)",6575,473,4780,1223,95,4,
"Padres / suegros (006)",1266,,,,18,318,930
"Otro(a) pariente (007)",6112,114,1939,2011,950,709,389
"Trabajador(a) del hogar (008)",95,,,59,23,9,4
"Pensionistas (009)",132,,5,84,14,12,17
"Otro(a) no pariente (010)",1305,9,170,515,334,194,83
"Hombres (011)",54283,859,16134,14197,10247,8493,4353
"Jefe o Jefa (012)",20653,,14,2776,6993,7161,3709
"Esposa(o) / compañera(o) (013)",1063,,26,243,352,314,128
"Hijo(a) / hijastro(a) (014)",24113,563,12515,8799,1829,399,8
"Yerno / nuera (015)",731,,3,364,304,58,2
"Nieto(a) (016)",3401,234,2467,642,55,3,
"Padres / suegros (017)",392,,,,7,86,299
"Otro(a) pariente (018)",3196,58,1022,1081,505,364,166
"Trabajador(a) del hogar (019)",13,,,10,,1,2
"Pensionistas (020)",51,,1,31,5,7,7
"Otro(a) no pariente (021)",670,4,86,251,197,100,32
"Mujeres (022)",56773,837,15786,14820,11464,9140,4726
"Jefe o Jefa (023)",8112,,18,881,2227,2870,2116
"Esposa(o) / compañera(o) (024)",16706,,11,3502,6414,5102,1677
"Hijo(a) / hijastro(a) (025)",23356,537,12426,8019,1919,440,15
"Yerno / nuera (026)",837,,13,541,239,43,1
"Nieto(a) (027)",3174,239,2313,581,40,1,
"Padres / suegros (028)",874,,,,11,232,631
"Otro(a) pariente (029)",2916,56,917,930,445,345,223
"Trabajador(a) del hogar (030)",82,,,49,23,8,2
"Pensionistas (031)",81,,4,53,9,5,10
"Otro(a) no pariente (032)",635,5,84,264,137,94,51
,,,,,,,
"URBANA (033)",71545,1076,19902,18687,14626,11481,5773
"Jefe o Jefa (034)",18524,,27,2308,6154,6436,3599
"Esposa(o) / compañera(o) (035)",11100,,29,2194,4355,3409,1113
"Hijo(a) / hijastro(a) (036)",29597,690,15108,10605,2587,593,14
"Yerno / nuera (037)",1078,,13,571,410,81,3
"Nieto(a) (038)",4395,303,3168,851,69,4,
"Padres / suegros (039)",957,,,,15,263,679
"Otro(a) pariente (040)",4515,75,1397,1555,705,510,273
"Trabajador(a) del hogar (041)",88,,,55,22,8,3
"Pensionistas (042)",124,,5,80,11,11,17
"Otro(a) no pariente (043)",1167,8,155,468,298,166,72
"Hombres (044)",34576,545,10125,8948,6754,5449,2755
"Jefe o Jefa (045)",12724,,13,1611,4411,4421,2268
"Esposa(o) / compañera(o) (046)",862,,20,191,287,256,108
"Hijo(a) / hijastro(a) (047)",14909,360,7630,5395,1234,285,5
"Yerno / nuera (048)",517,,3,236,227,49,2
"Nieto(a) (049)",2260,143,1640,434,40,3,
"Padres / suegros (050)",300,,,,6,76,218
"Otro(a) pariente (051)",2362,39,738,819,378,269,119
"Trabajador(a) del hogar (052)",12,,,9,,1,2
"Pensionistas (053)",47,,1,31,2,6,7
"Otro(a) no pariente (054)",583,3,80,222,169,83,26
"Mujeres (055)",36969,531,9777,9739,7872,6032,3018
"Jefe o Jefa (056)",5800,,14,697,1743,2015,1331
"Esposa(o) / compañera(o) (057)",10238,,9,2003,4068,3153,1005
"Hijo(a) / hijastro(a) (058)",14688,330,7478,5210,1353,308,9
"Yerno / nuera (059)",561,,10,335,183,32,1
"Nieto(a) (060)",2135,160,1528,417,29,1,
"Padres / suegros (061)",657,,,,9,187,461
"Otro(a) pariente (062)",2153,36,659,736,327,241,154
"Trabajador(a) del hogar (063)",76,,,46,22,7,1
"Pensionistas (064)",77,,4,49,9,5,10
"Otro(a) no pariente (065)",584,5,75,246,129,83,46
,,,,,,,
"RURAL (066)",39511,620,12018,10330,7085,6152,3306
"Jefe o Jefa (067)",10241,,5,1349,3066,3595,2226
"Esposa(o) / compañera(o) (068)",6669,,8,1551,2411,2007,692
"Hijo(a) / hijastro(a) (069)",17872,410,9833,6213,1161,246,9
"Yerno / nuera (070)",490,,3,334,133,20,
"Nieto(a) (071)",2180,170,1612,372,26,,
"Padres / suegros (072)",309,,,,3,55,251
"Otro(a) pariente (073)",1597,39,542,456,245,199,116
"Trabajador(a) del hogar (074)",7,,,4,1,1,1
"Pensionistas (075)",8,,,4,3,1,
"Otro(a) no pariente (076)",138,1,15,47,36,28,11
"Hombres (077)",19707,314,6009,5249,3493,3044,1598
"Jefe o Jefa (078)",7929,,1,1165,2582,2740,1441
"Esposa(o) / compañera(o) (079)",201,,6,52,65,58,20
"Hijo(a) / hijastro(a) (080)",9204,203,4885,3404,595,114,3
"Yerno / nuera (081)",214,,,128,77,9,
"Nieto(a) (082)",1141,91,827,208,15,,
"Padres / suegros (083)",92,,,,1,10,81
"Otro(a) pariente (084)",834,19,284,262,127,95,47
"Trabajador(a) del hogar (085)",1,,,1,,,
"Pensionistas (086)",4,,,,3,1,
"Otro(a) no pariente (087)",87,1,6,29,28,17,6
"Mujeres (088)",19804,306,6009,5081,3592,3108,1708
"Jefe o Jefa (089)",2312,,4,184,484,855,785
"Esposa(o) / compañera(o) (090)",6468,,2,1499,2346,1949,672
"Hijo(a) / hijastro(a) (091)",8668,207,4948,2809,566,132,6
"Yerno / nuera (092)",276,,3,206,56,11,
"Nieto(a) (093)",1039,79,785,164,11,,
"Padres / suegros (094)",217,,,,2,45,170
"Otro(a) pariente (095)",763,20,258,194,118,104,69
