"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PATAZ (000)",42036,21675,94,386,17626,726,88,67,62,1312
"Hombres (001)",14970,11282,46,260,2042,398,62,37,62,781
"Mujeres (002)",27066,10393,48,126,15584,328,26,30,,531
"De 06 a 14 años (003)",18272,17250,,,341,332,1,14,,334
"Hombres (004)",9263,8845,,,97,179,,6,,136
"Mujeres (005)",9009,8405,,,244,153,1,8,,198
"De 15 a 29 años (006)",10689,4330,6,80,5807,,39,15,62,350
"Hombres (007)",3392,2400,4,46,638,,26,7,62,209
"Mujeres (008)",7297,1930,2,34,5169,,13,8,,141
"De 30 a 44 años (009)",5693,71,14,94,5309,,24,4,,177
"Hombres (010)",763,31,11,67,503,,20,3,,128
"Mujeres (011)",4930,40,3,27,4806,,4,1,,49
"De 45 a 64 años (012)",4367,22,25,80,3979,11,20,15,,215
"Hombres (013)",737,6,7,56,493,6,13,9,,147
"Mujeres (014)",3630,16,18,24,3486,5,7,6,,68
"De 65 y más años (015)",3015,2,49,132,2190,383,4,19,,236
"Hombres (016)",815,,24,91,311,213,3,12,,161
"Mujeres (017)",2200,2,25,41,1879,170,1,7,,75
,,,,,,,,,,
"AREA URBANA (018)",10380,5548,66,99,4148,140,21,9,27,322
"Hombres (019)",3890,2792,31,55,688,85,12,5,27,195
"Mujeres (020)",6490,2756,35,44,3460,55,9,4,,127
"De 06 a 14 años (021)",4288,4095,,,91,50,,3,,49
"Hombres (022)",2136,2049,,,36,30,,,,21
"Mujeres (023)",2152,2046,,,55,20,,3,,28
"De 15 a 29 años (024)",2968,1405,3,23,1379,,11,2,27,118
"Hombres (025)",1045,718,2,8,214,,6,2,27,68
"Mujeres (026)",1923,687,1,15,1165,,5,,,50
"De 30 a 44 años (027)",1465,40,8,28,1325,,6,,,58
"Hombres (028)",276,22,7,17,184,,4,,,42
"Mujeres (029)",1189,18,1,11,1141,,2,,,16
"De 45 a 64 años (030)",946,8,19,17,844,2,3,1,,52
"Hombres (031)",213,3,6,8,157,2,1,,,36
"Mujeres (032)",733,5,13,9,687,,2,1,,16
"De 65 y más años (033)",713,,36,31,509,88,1,3,,45
"Hombres (034)",220,,16,22,97,53,1,3,,28
"Mujeres (035)",493,,20,9,412,35,,,,17
,,,,,,,,,,
"AREA RURAL (036)",31656,16127,28,287,13478,586,67,58,35,990
"Hombres (037)",11080,8490,15,205,1354,313,50,32,35,586
"Mujeres (038)",20576,7637,13,82,12124,273,17,26,,404
"De 06 a 14 años (039)",13984,13155,,,250,282,1,11,,285
"Hombres (040)",7127,6796,,,61,149,,6,,115
"Mujeres (041)",6857,6359,,,189,133,1,5,,170
"De 15 a 29 años (042)",7721,2925,3,57,4428,,28,13,35,232
"Hombres (043)",2347,1682,2,38,424,,20,5,35,141
"Mujeres (044)",5374,1243,1,19,4004,,8,8,,91
"De 30 a 44 años (045)",4228,31,6,66,3984,,18,4,,119
"Hombres (046)",487,9,4,50,319,,16,3,,86
"Mujeres (047)",3741,22,2,16,3665,,2,1,,33
"De 45 a 64 años (048)",3421,14,6,63,3135,9,17,14,,163
"Hombres (049)",524,3,1,48,336,4,12,9,,111
"Mujeres (050)",2897,11,5,15,2799,5,5,5,,52
"De 65 y más años (051)",2302,2,13,101,1681,295,3,16,,191
"Hombres (052)",595,,8,69,214,160,2,9,,133
"Mujeres (053)",1707,2,5,32,1467,135,1,7,,58
