"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CELENDIN (000)",23866,21110,1323,624,809
"Agric., ganadería, caza y silvicultura (001)",14731,14300,371,57,3
"Explotación de minas y canteras (003)",42,22,4,10,6
"Industrias manufactureras (004)",1534,1472,39,18,5
"Suministro de electricidad, gas y agua (005)",19,4,1,14,
"Construcción (006)",779,542,148,73,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1627,1551,60,16,
"Venta, mant.y rep. veh.autom y motoc. (008)",113,104,6,3,
"Comercio al por mayor (009)",57,52,3,2,
"Comercio al por menor (010)",1457,1395,51,11,
"Hoteles y restaurantes (011)",398,360,29,7,2
"Trans., almac. y comunicaciones (012)",511,437,35,26,13
"Intermediación financiera (013)",17,5,5,2,5
"Activid.inmobil., empres. y alquileres (014)",137,78,16,23,20
"Admin.pub. y defensa; p. segur soc.afil (015)",369,,,,369
"Enseñanza (016)",1608,496,532,322,258
"Servicios sociales y de salud (017)",169,69,6,7,87
"Otras activ. serv.comun.soc y personales (018)",362,306,27,20,9
"Hogares privados con servicio doméstico (019)",718,718,,,
"Actividad economica no especificada (021)",845,750,50,29,16
"Hombres (022)",18144,16328,903,408,505
"Agric., ganadería, caza y silvicultura (023)",13733,13363,313,54,3
"Explotación de minas y canteras (025)",41,21,4,10,6
"Industrias manufactureras (026)",426,390,23,10,3
"Suministro de electricidad, gas y agua (027)",15,2,1,12,
"Construcción (028)",771,539,145,72,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",787,752,27,8,
"Venta, mant.y rep. veh.autom y motoc. (030)",104,95,6,3,
"Comercio al por mayor (031)",36,34,1,1,
"Comercio al por menor (032)",647,623,20,4,
"Hoteles y restaurantes (033)",72,54,13,4,1
"Trans., almac. y comunicaciones (034)",474,410,29,23,12
"Intermediación financiera (035)",15,5,4,2,4
"Activid.inmobil., empres. y alquileres (036)",89,53,8,15,13
"Admin.pub. y defensa; p. segur soc.afil (037)",284,,,,284
"Enseñanza (038)",770,205,284,162,119
"Servicios sociales y de salud (039)",74,37,2,3,32
"Otras activ. serv.comun.soc y personales (040)",221,181,20,14,6
"Hogares privados con servicio doméstico (041)",31,31,,,
"Actividad economica no especificada (043)",341,285,30,19,7
"Mujeres (044)",5722,4782,420,216,304
