"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia OXAPAMPA",,,,,,,,,
"Hogares (001)",19549,447,162,117,83,46,45,41,18608
"Ocupantes presentes (002)",79447,1562,522,405,301,206,229,224,75998
"Casa independiente",,,,,,,,,
"Hogares (004)",14407,357,135,87,73,31,38,31,13655
"Ocupantes presentes (005)",58301,1250,447,292,262,136,181,157,55576
"Departamento en edificio",,,,,,,,,
"Hogares (007)",62,3,,,,,,1,58
"Ocupantes presentes (008)",178,11,,,,,,2,165
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",399,11,7,6,3,1,,,371
"Ocupantes presentes (011)",1242,30,16,20,14,2,,,1160
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",365,9,3,2,2,1,1,1,346
"Ocupantes presentes (014)",1142,27,7,10,9,4,7,8,1070
"Choza o cabaña",,,,,,,,,
"Hogares (016)",4152,64,14,18,4,11,6,7,4028
"Ocupantes presentes (017)",17996,233,38,63,12,51,41,52,17506
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",89,2,3,2,1,1,,1,79
"Ocupantes presentes (020)",350,10,14,6,4,8,,5,303
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",47,1,,2,,,,,44
"Ocupantes presentes (023)",162,1,,14,,,,,147
"Otro tipo",,,,,,,,,
"Hogares (025)",28,,,,,1,,,27
"Ocupantes presentes (026)",76,,,,,5,,,71
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",7382,255,100,73,57,27,23,17,6830
"Ocupantes presentes (029)",28409,874,338,254,216,122,112,95,26398
"Casa independiente",,,,,,,,,
"Hogares (031)",6422,229,87,62,51,23,22,14,5934
"Ocupantes presentes (032)",25363,795,301,215,189,103,105,80,23575
"Departamento en edificio",,,,,,,,,
"Hogares (034)",62,3,,,,,,1,58
"Ocupantes presentes (035)",178,11,,,,,,2,165
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",399,11,7,6,3,1,,,371
"Ocupantes presentes (038)",1242,30,16,20,14,2,,,1160
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",365,9,3,2,2,1,1,1,346
"Ocupantes presentes (041)",1142,27,7,10,9,4,7,8,1070
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",89,2,3,2,1,1,,1,79
"Ocupantes presentes (047)",350,10,14,6,4,8,,5,303
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",25,1,,1,,,,,23
"Ocupantes presentes (050)",80,1,,3,,,,,76
"Otro tipo",,,,,,,,,
"Hogares (052)",20,,,,,1,,,19
"Ocupantes presentes (053)",54,,,,,5,,,49
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",12167,192,62,44,26,19,22,24,11778
"Ocupantes presentes (056)",51038,688,184,151,85,84,117,129,49600
"Casa independiente",,,,,,,,,
"Hogares (058)",7985,128,48,25,22,8,16,17,7721
"Ocupantes presentes (059)",32938,455,146,77,73,33,76,77,32001
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",4152,64,14,18,4,11,6,7,4028
"Ocupantes presentes (071)",17996,233,38,63,12,51,41,52,17506
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",22,,,1,,,,,21
"Ocupantes presentes (077)",82,,,11,,,,,71
"Otro tipo",,,,,,,,,
"Hogares (079)",8,,,,,,,,8
"Ocupantes presentes (080)",22,,,,,,,,22
