"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia JULCAN (000)",7873,483,468,5363,43,1450,66
"Sin nivel (001)",1074,14,68,768,2,203,19
"Educación inicial (002)",15,,,6,,9,
"Primaria (003)",4642,43,273,3439,27,827,33
"Secundaria (004)",1537,122,103,906,10,386,10
"Superior no univ. incompleta (005)",151,71,12,60,1,7,
"Superior no univ. completa (006)",161,97,4,49,,9,2
"Superior univ. incompleta (007)",54,16,4,28,,5,1
"Superior univ. completa (008)",239,120,4,107,3,4,1
"Hombres (010)",6988,217,416,5091,42,1215,7
"Sin nivel (011)",869,2,52,705,2,108,
"Educación inicial (012)",10,,,6,,4,
"Primaria (013)",4341,16,244,3312,26,738,5
"Secundaria (014)",1377,57,97,864,10,348,1
"Superior no univ. incompleta (015)",83,17,12,48,1,5,
"Superior no univ. completa (016)",102,53,4,39,,6,
"Superior univ. incompleta (017)",43,10,4,25,,4,
"Superior univ. completa (018)",163,62,3,92,3,2,1
"Mujeres (020)",885,266,52,272,1,235,59
"Sin nivel (021)",205,12,16,63,,95,19
"Educación inicial (022)",5,,,,,5,
"Primaria (023)",301,27,29,127,1,89,28
"Secundaria (024)",160,65,6,42,,38,9
"Superior no univ. incompleta (025)",68,54,,12,,2,
"Superior no univ. completa (026)",59,44,,10,,3,2
"Superior univ. incompleta (027)",11,6,,3,,1,1
"Superior univ. completa (028)",76,58,1,15,,2,
,,,,,,,
"URBANA (030)",1164,241,176,619,26,76,26
"Sin nivel (031)",118,8,35,56,2,7,10
"Primaria (033)",461,17,77,316,13,28,10
"Secundaria (034)",275,50,48,135,8,32,2
"Superior no univ. incompleta (035)",50,12,8,29,,1,
"Superior no univ. completa (036)",92,60,3,22,,5,2
"Superior univ. incompleta (037)",23,11,2,7,,2,1
"Superior univ. completa (038)",145,83,3,54,3,1,1
"Hombres (040)",848,131,152,487,25,52,1
"Sin nivel (041)",58,1,24,28,2,3,
"Primaria (043)",362,7,68,258,12,17,
"Secundaria (044)",236,37,45,118,8,28,
"Superior no univ. incompleta (045)",37,6,8,22,,1,
"Superior no univ. completa (046)",48,30,3,13,,2,
"Superior univ. incompleta (047)",13,5,2,5,,1,
"Superior univ. completa (048)",94,45,2,43,3,,1
"Mujeres (050)",316,110,24,132,1,24,25
"Sin nivel (051)",60,7,11,28,,4,10
"Primaria (053)",99,10,9,58,1,11,10
"Secundaria (054)",39,13,3,17,,4,2
"Superior no univ. incompleta (055)",13,6,,7,,,
"Superior no univ. completa (056)",44,30,,9,,3,2
"Superior univ. incompleta (057)",10,6,,2,,1,1
"Superior univ. completa (058)",51,38,1,11,,1,
,,,,,,,
"RURAL (060)",6709,242,292,4744,17,1374,40
"Sin nivel (061)",956,6,33,712,,196,9
"Educación inicial (062)",15,,,6,,9,
"Primaria (063)",4181,26,196,3123,14,799,23
"Secundaria (064)",1262,72,55,771,2,354,8
"Superior no univ. incompleta (065)",101,59,4,31,1,6,
"Superior no univ. completa (066)",69,37,1,27,,4,
"Superior univ. incompleta (067)",31,5,2,21,,3,
"Superior univ. completa (068)",94,37,1,53,,3,
"Hombres (070)",6140,86,264,4604,17,1163,6
"Sin nivel (071)",811,1,28,677,,105,
"Educación inicial (072)",10,,,6,,4,
"Primaria (073)",3979,9,176,3054,14,721,5
"Secundaria (074)",1141,20,52,746,2,320,1
"Superior no univ. incompleta (075)",46,11,4,26,1,4,
"Superior no univ. completa (076)",54,23,1,26,,4,
"Superior univ. incompleta (077)",30,5,2,20,,3,
"Superior univ. completa (078)",69,17,1,49,,2,
"Mujeres (080)",569,156,28,140,,211,34
"Sin nivel (081)",145,5,5,35,,91,9
"Educación inicial (082)",5,,,,,5,
"Primaria (083)",202,17,20,69,,78,18
"Secundaria (084)",121,52,3,25,,34,7
"Superior no univ. incompleta (085)",55,48,,5,,2,
"Superior no univ. completa (086)",15,14,,1,,,
"Superior univ. incompleta (087)",1,,,1,,,
"Superior univ. completa (088)",25,20,,4,,1,
