"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PACHITEA (000)",60321,1264,24565,15654,9624,6363,2851
"Hombres (001)",30454,615,12378,7797,4895,3332,1437
"Mujeres (002)",29867,649,12187,7857,4729,3031,1414
"Viviendas particulares (003)",59944,1258,24545,15465,9518,6314,2844
"Hombres (004)",30184,611,12366,7668,4807,3300,1432
"Mujeres (005)",29760,647,12179,7797,4711,3014,1412
"Viviendas colectivas (006)",299,6,15,145,87,41,5
"Hombres (007)",205,4,11,93,69,25,3
"Mujeres (008)",94,2,4,52,18,16,2
"Otro tipo (009)",78,,5,44,19,8,2
"Hombres (010)",65,,1,36,19,7,2
"Mujeres (011)",13,,4,8,,1,
,,,,,,,
"URBANA (012)",8629,136,3043,2350,1694,1022,384
"Hombres (013)",4374,79,1564,1150,837,548,196
"Mujeres (014)",4255,57,1479,1200,857,474,188
"Viviendas particulares (015)",8258,130,3023,2164,1590,974,377
"Hombres (016)",4108,75,1552,1022,751,517,191
"Mujeres (017)",4150,55,1471,1142,839,457,186
"Viviendas colectivas (018)",293,6,15,142,85,40,5
"Hombres (019)",201,4,11,92,67,24,3
"Mujeres (020)",92,2,4,50,18,16,2
"Otro tipo (021)",78,,5,44,19,8,2
"Hombres (022)",65,,1,36,19,7,2
"Mujeres (023)",13,,4,8,,1,
,,,,,,,
"RURAL (024)",51692,1128,21522,13304,7930,5341,2467
"Hombres (025)",26080,536,10814,6647,4058,2784,1241
"Mujeres (026)",25612,592,10708,6657,3872,2557,1226
"Viviendas particulares (027)",51686,1128,21522,13301,7928,5340,2467
"Hombres (028)",26076,536,10814,6646,4056,2783,1241
"Mujeres (029)",25610,592,10708,6655,3872,2557,1226
"Viviendas colectivas (030)",6,,,3,2,1,
"Hombres (031)",4,,,1,2,1,
"Mujeres (032)",2,,,2,,,
