"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CUSCO (000)",287712,18578,64673,17853,188087
"Conviviente (001)",69184,4076,10598,2780,51915
"Separado(a) (002)",8845,454,1772,443,6205
"Casado(a) (003)",77430,3987,29206,7122,37932
"Viudo(a) (004)",10494,678,2867,515,6473
"Divorciado(a) (005)",2641,80,961,268,1355
"Soltero(a) (006)",119118,9303,19269,6725,84207
"Hombres (008)",136788,7744,29632,10102,90115
"Conviviente (009)",33079,1252,5340,1837,24754
"Separado(a) (010)",2305,79,474,201,1559
"Casado(a) (011)",37310,1735,13736,4153,18192
"Viudo(a) (012)",2607,157,727,164,1564
"Divorciado(a) (013)",948,35,295,128,496
"Soltero(a) (014)",60539,4486,9060,3619,43550
"Mujeres (016)",150924,10834,35041,7751,97972
"Conviviente (017)",36105,2824,5258,943,27161
"Separado(a) (018)",6540,375,1298,242,4646
"Casado(a) (019)",40120,2252,15470,2969,19740
"Viudo(a) (020)",7887,521,2140,351,4909
"Divorciado(a) (021)",1693,45,666,140,859
"Soltero(a) (022)",58579,4817,10209,3106,40657
,,,,,
"URBANA (024)",276604,14564,64106,17605,181802
"Conviviente (025)",66336,3256,10435,2707,50123
"Separado(a) (026)",8634,386,1765,441,6071
"Casado(a) (027)",73806,2518,28972,7037,36092
"Viudo(a) (028)",9815,398,2845,505,6106
"Divorciado(a) (029)",2611,77,957,267,1333
"Soltero(a) (030)",115402,7929,19132,6648,82077
"Hombres (032)",131227,5953,29310,9947,86819
"Conviviente (033)",31668,921,5247,1793,23811
"Separado(a) (034)",2251,69,472,199,1519
"Casado(a) (035)",35533,1086,13607,4099,17244
"Viudo(a) (036)",2431,89,719,160,1468
"Divorciado(a) (037)",930,33,291,128,484
"Soltero(a) (038)",58414,3755,8974,3568,42293
"Mujeres (040)",145377,8611,34796,7658,94983
"Conviviente (041)",34668,2335,5188,914,26312
"Separado(a) (042)",6383,317,1293,242,4552
"Casado(a) (043)",38273,1432,15365,2938,18848
"Viudo(a) (044)",7384,309,2126,345,4638
"Divorciado(a) (045)",1681,44,666,139,849
"Soltero(a) (046)",56988,4174,10158,3080,39784
,,,,,
"RURAL (048)",11108,4014,567,248,6285
"Conviviente (049)",2848,820,163,73,1792
"Separado(a) (050)",211,68,7,2,134
"Casado(a) (051)",3624,1469,234,85,1840
"Viudo(a) (052)",679,280,22,10,367
"Divorciado(a) (053)",30,3,4,1,22
"Soltero(a) (054)",3716,1374,137,77,2130
"Hombres (056)",5561,1791,322,155,3296
"Conviviente (057)",1411,331,93,44,943
"Separado(a) (058)",54,10,2,2,40
"Casado(a) (059)",1777,649,129,54,948
"Viudo(a) (060)",176,68,8,4,96
"Divorciado(a) (061)",18,2,4,,12
"Soltero(a) (062)",2125,731,86,51,1257
"Mujeres (064)",5547,2223,245,93,2989
"Conviviente (065)",1437,489,70,29,849
"Separado(a) (066)",157,58,5,,94
"Casado(a) (067)",1847,820,105,31,892
"Viudo(a) (068)",503,212,14,6,271
"Divorciado(a) (069)",12,1,,1,10
"Soltero(a) (070)",1591,643,51,26,873
