"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ILO (000)",18164,167,4933,5966,2911,1113,443,101,23,,2507
"Conviviente (001)",5209,66,1689,1819,740,242,80,18,3,,552
"Separado(a) (002)",1305,21,405,462,206,74,34,6,4,,93
"Casado(a) (003)",8165,48,2048,2863,1580,621,253,52,13,,687
"Viudo(a) (004)",957,13,327,297,126,56,28,14,,,96
"Divorciado(a) (005)",220,1,76,65,28,15,7,2,,,26
"Soltero(a) (006)",2308,18,388,460,231,105,41,9,3,,1053
,,,,,,,,,,,
"URBANA (008)",18089,167,4913,5937,2898,1109,443,100,23,,2499
"Conviviente (009)",5195,66,1681,1814,740,242,80,18,3,,551
"Separado(a) (010)",1303,21,405,461,205,74,34,6,4,,93
"Casado(a) (011)",8126,48,2038,2847,1572,619,253,51,13,,685
"Viudo(a) (012)",945,13,325,292,124,54,28,14,,,95
"Divorciado(a) (013)",219,1,76,65,28,15,7,2,,,25
"Soltero(a) (014)",2301,18,388,458,229,105,41,9,3,,1050
,,,,,,,,,,,
"RURAL (016)",75,,20,29,13,4,,1,,,8
"Conviviente (017)",14,,8,5,,,,,,,1
"Separado(a) (018)",2,,,1,1,,,,,,
"Casado(a) (019)",39,,10,16,8,2,,1,,,2
"Viudo(a) (020)",12,,2,5,2,2,,,,,1
"Divorciado(a) (021)",1,,,,,,,,,,1
"Soltero(a) (022)",7,,,2,2,,,,,,3
