"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ANTA (000)",20081,19302,5555,1948,2015,1832,3222,2287,2443,779
"Católica (001)",18139,17442,5019,1750,1785,1645,2919,2083,2241,697
"Cristiana/Evangélica (002)",1565,1498,433,155,186,161,247,159,157,67
"Otra (003)",277,268,76,29,30,21,44,30,38,9
"Ninguna (004)",100,94,27,14,14,5,12,15,7,6
,,,,,,,,,,
"URBANA (006)",7305,6947,2023,855,860,742,1125,688,654,358
"Católica (007)",6697,6366,1842,786,791,683,1036,630,598,331
"Cristiana/Evangélica (008)",422,403,125,41,46,47,68,36,40,19
"Otra (009)",131,126,39,20,14,10,16,15,12,5
"Ninguna (010)",55,52,17,8,9,2,5,7,4,3
,,,,,,,,,,
"RURAL (012)",12776,12355,3532,1093,1155,1090,2097,1599,1789,421
"Católica (013)",11442,11076,3177,964,994,962,1883,1453,1643,366
"Cristiana/Evangélica (014)",1143,1095,308,114,140,114,179,123,117,48
"Otra (015)",146,142,37,9,16,11,28,15,26,4
"Ninguna (016)",45,42,10,6,5,3,7,8,3,3
