"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHUPACA (000)",756,231,525
"Sin nivel (001)",25,4,21
"Educación inicial (002)",1,,1
"Primaria (003)",107,14,93
"Secundaria (004)",371,125,246
"Superior no univ. incompleta (005)",59,19,40
"Superior no univ. completa (006)",103,39,64
"Superior univ. incompleta (007)",15,4,11
"Superior univ. completa (008)",75,26,49
"Hombres (010)",541,163,378
"Sin nivel (011)",17,3,14
"Educación inicial (012)",1,,1
"Primaria (013)",71,11,60
"Secundaria (014)",305,97,208
"Superior no univ. incompleta (015)",45,14,31
"Superior no univ. completa (016)",50,20,30
"Superior univ. incompleta (017)",12,3,9
"Superior univ. completa (018)",40,15,25
"Mujeres (020)",215,68,147
"Sin nivel (021)",8,1,7
"Primaria (023)",36,3,33
"Secundaria (024)",66,28,38
"Superior no univ. incompleta (025)",14,5,9
"Superior no univ. completa (026)",53,19,34
"Superior univ. incompleta (027)",3,1,2
"Superior univ. completa (028)",35,11,24
,,,
"AREA URBANA (030)",497,141,356
"Sin nivel (031)",13,2,11
"Educación inicial (032)",1,,1
"Primaria (033)",63,7,56
"Secundaria (034)",229,70,159
"Superior no univ. incompleta (035)",42,15,27
"Superior no univ. completa (036)",79,27,52
"Superior univ. incompleta (037)",13,3,10
"Superior univ. completa (038)",57,17,40
"Hombres (040)",336,100,236
"Sin nivel (041)",5,1,4
"Educación inicial (042)",1,,1
"Primaria (043)",37,4,33
"Secundaria (044)",184,59,125
"Superior no univ. incompleta (045)",34,11,23
"Superior no univ. completa (046)",38,15,23
"Superior univ. incompleta (047)",10,2,8
"Superior univ. completa (048)",27,8,19
"Mujeres (050)",161,41,120
"Sin nivel (051)",8,1,7
"Primaria (053)",26,3,23
"Secundaria (054)",45,11,34
"Superior no univ. incompleta (055)",8,4,4
"Superior no univ. completa (056)",41,12,29
"Superior univ. incompleta (057)",3,1,2
"Superior univ. completa (058)",30,9,21
,,,
"AREA RURAL (060)",259,90,169
"Sin nivel (061)",12,2,10
"Primaria (063)",44,7,37
"Secundaria (064)",142,55,87
"Superior no univ. incompleta (065)",17,4,13
"Superior no univ. completa (066)",24,12,12
"Superior univ. incompleta (067)",2,1,1
"Superior univ. completa (068)",18,9,9
"Hombres (070)",205,63,142
"Sin nivel (071)",12,2,10
"Primaria (073)",34,7,27
"Secundaria (074)",121,38,83
"Superior no univ. incompleta (075)",11,3,8
"Superior no univ. completa (076)",12,5,7
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",13,7,6
"Mujeres (080)",54,27,27
"Primaria (083)",10,,10
"Secundaria (084)",21,17,4
"Superior no univ. incompleta (085)",6,1,5
"Superior no univ. completa (086)",12,7,5
"Superior univ. completa (088)",5,2,3
