"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BOLIVAR (000)",122,38,84
"De 14 a 29 años (001)",65,30,35
"De 30 a 44 años (002)",30,5,25
"De 45 a 64 años (003)",22,3,19
"De 65 y más años (004)",5,,5
"Hombres (005)",100,27,73
"De 14 a 29 años (006)",49,20,29
"De 30 a 44 años (007)",24,4,20
"De 45 a 64 años (008)",22,3,19
"De 65 y más años (009)",5,,5
"Mujeres (010)",22,11,11
"De 14 a 29 años (011)",16,10,6
"De 30 a 44 años (012)",6,1,5
,,,
"AREA URBANA (015)",68,18,50
"De 14 a 29 años (016)",37,14,23
"De 30 a 44 años (017)",16,3,13
"De 45 a 64 años (018)",11,1,10
"De 65 y más años (019)",4,,4
"Hombres (020)",53,11,42
"De 14 a 29 años (021)",26,8,18
"De 30 a 44 años (022)",12,2,10
"De 45 a 64 años (023)",11,1,10
"De 65 y más años (024)",4,,4
"Mujeres (025)",15,7,8
"De 14 a 29 años (026)",11,6,5
"De 30 a 44 años (027)",4,1,3
,,,
"AREA RURAL (030)",54,20,34
"De 14 a 29 años (031)",28,16,12
"De 30 a 44 años (032)",14,2,12
"De 45 a 64 años (033)",11,2,9
"De 65 y más años (034)",1,,1
"Hombres (035)",47,16,31
"De 14 a 29 años (036)",23,12,11
"De 30 a 44 años (037)",12,2,10
"De 45 a 64 años (038)",11,2,9
"De 65 y más años (039)",1,,1
"Mujeres (040)",7,4,3
"De 14 a 29 años (041)",5,4,1
"De 30 a 44 años (042)",2,,2
