"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANDIA (000)",14208,123,5487,5154,1517,408,166,52,10,,1291
"Sin Nivel (001)",3198,28,1052,1246,425,147,78,32,3,,187
"Educación Inicial (002)",12,,4,4,2,1,,,,,1
"Primaria (003)",6385,70,2764,2294,608,147,62,17,5,,418
"Secundaria (004)",3813,23,1561,1352,280,56,16,1,,,524
"Sup. no Univ. Incompleta (005)",205,1,37,78,30,6,,,,,53
"Sup. no Univ. Completa (006)",288,1,33,93,80,22,4,1,1,,53
"Sup. Univ. Incompleta (007)",59,,8,19,10,3,,,,,19
"Sup. Univ. Completa (008)",248,,28,68,82,26,6,1,1,,36
,,,,,,,,,,,
"URBANA (010)",4107,31,1481,1425,480,134,70,22,4,,460
"Sin Nivel (011)",709,6,263,228,88,31,28,13,1,,51
"Educación Inicial (012)",2,,,1,,1,,,,,
"Primaria (013)",1502,16,650,522,137,39,24,7,2,,105
"Secundaria (014)",1319,8,489,487,106,24,9,1,,,195
"Sup. no Univ. Incompleta (015)",127,,25,49,20,3,,,,,30
"Sup. no Univ. Completa (016)",206,1,24,72,57,12,3,1,1,,35
"Sup. Univ. Incompleta (017)",47,,6,14,9,3,,,,,15
"Sup. Univ. Completa (018)",195,,24,52,63,21,6,,,,29
,,,,,,,,,,,
"RURAL (020)",10101,92,4006,3729,1037,274,96,30,6,,831
"Sin Nivel (021)",2489,22,789,1018,337,116,50,19,2,,136
"Educación Inicial (022)",10,,4,3,2,,,,,,1
"Primaria (023)",4883,54,2114,1772,471,108,38,10,3,,313
"Secundaria (024)",2494,15,1072,865,174,32,7,,,,329
"Sup. no Univ. Incompleta (025)",78,1,12,29,10,3,,,,,23
"Sup. no Univ. Completa (026)",82,,9,21,23,10,1,,,,18
"Sup. Univ. Incompleta (027)",12,,2,5,1,,,,,,4
"Sup. Univ. Completa (028)",53,,4,16,19,5,,1,1,,7
