"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONCEPCION (000)",18961,329,5698,6461,4910,1563
"Empleado (001)",2745,9,936,1144,618,38
"Obrero (002)",3914,44,1357,1440,868,205
"Trabajador independiente (003)",8234,48,1846,2790,2562,988
"Empleador o patrono (004)",243,1,50,87,84,21
"Trabajador familiar no remunerado (005)",3562,213,1393,932,725,299
"Trabajador del hogar (006)",263,14,116,68,53,12
"Hombres (008)",12466,201,3857,4172,3163,1073
"Empleado (009)",1577,4,484,663,397,29
"Obrero (010)",3006,33,1098,1102,619,154
"Trabajador independiente (011)",5677,33,1316,1861,1754,713
"Empleador o patrono (012)",162,1,34,61,51,15
"Trabajador familiar no remunerado (013)",2021,128,917,482,335,159
"Trabajador del hogar (014)",23,2,8,3,7,3
"Mujeres (016)",6495,128,1841,2289,1747,490
"Empleado (017)",1168,5,452,481,221,9
"Obrero (018)",908,11,259,338,249,51
"Trabajador independiente (019)",2557,15,530,929,808,275
"Empleador o patrono (020)",81,,16,26,33,6
"Trabajador familiar no remunerado (021)",1541,85,476,450,390,140
"Trabajador del hogar (022)",240,12,108,65,46,9
,,,,,,
"URBANA (024)",11123,227,3210,3835,2983,868
"Empleado (025)",2175,9,716,905,510,35
"Obrero (026)",2053,30,671,726,513,113
"Trabajador independiente (027)",4883,33,1078,1692,1526,554
"Empleador o patrono (028)",197,1,40,71,70,15
"Trabajador familiar no remunerado (029)",1608,145,616,389,317,141
"Trabajador del hogar (030)",207,9,89,52,47,10
"Hombres (032)",6458,133,1937,2155,1713,520
"Empleado (033)",1181,4,347,490,313,27
"Obrero (034)",1503,22,526,515,358,82
"Trabajador independiente (035)",2921,22,683,979,894,343
"Empleador o patrono (036)",132,1,28,50,42,11
"Trabajador familiar no remunerado (037)",703,83,346,119,99,56
"Trabajador del hogar (038)",18,1,7,2,7,1
"Mujeres (040)",4665,94,1273,1680,1270,348
"Empleado (041)",994,5,369,415,197,8
"Obrero (042)",550,8,145,211,155,31
"Trabajador independiente (043)",1962,11,395,713,632,211
"Empleador o patrono (044)",65,,12,21,28,4
"Trabajador familiar no remunerado (045)",905,62,270,270,218,85
"Trabajador del hogar (046)",189,8,82,50,40,9
,,,,,,
"RURAL (048)",7838,102,2488,2626,1927,695
"Empleado (049)",570,,220,239,108,3
"Obrero (050)",1861,14,686,714,355,92
"Trabajador independiente (051)",3351,15,768,1098,1036,434
"Empleador o patrono (052)",46,,10,16,14,6
"Trabajador familiar no remunerado (053)",1954,68,777,543,408,158
"Trabajador del hogar (054)",56,5,27,16,6,2
"Hombres (056)",6008,68,1920,2017,1450,553
"Empleado (057)",396,,137,173,84,2
"Obrero (058)",1503,11,572,587,261,72
"Trabajador independiente (059)",2756,11,633,882,860,370
"Empleador o patrono (060)",30,,6,11,9,4
"Trabajador familiar no remunerado (061)",1318,45,571,363,236,103
"Trabajador del hogar (062)",5,1,1,1,,2
"Mujeres (064)",1830,34,568,609,477,142
"Empleado (065)",174,,83,66,24,1
"Obrero (066)",358,3,114,127,94,20
"Trabajador independiente (067)",595,4,135,216,176,64
"Empleador o patrono (068)",16,,4,5,5,2
"Trabajador familiar no remunerado (069)",636,23,206,180,172,55
"Trabajador del hogar (070)",51,4,26,15,6,
