"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3092,47,1126,997,353,145,65,27,1,,331
"Sin Nivel (001)",751,19,300,211,68,29,16,12,,,96
"Educación Inicial (002)",5,,2,1,,,,,,,2
"Primaria (003)",995,23,421,290,89,44,23,10,1,,94
"Secundaria (004)",863,5,322,307,85,34,9,2,,,99
"Sup. no Univ. Incompleta (005)",107,,28,53,14,,1,,,,11
"Sup. no Univ. Completa (006)",241,,40,94,66,13,7,2,,,19
"Sup. Univ. Incompleta (007)",27,,6,5,6,4,1,,,,5
"Sup. Univ. Completa (008)",103,,7,36,25,21,8,1,,,5
,,,,,,,,,,,
"URBANA (010)",2101,21,730,681,276,104,45,20,1,,223
"Sin Nivel (011)",403,8,150,106,44,16,10,8,,,61
"Educación Inicial (012)",4,,1,1,,,,,,,2
"Primaria (013)",631,8,272,179,62,27,17,8,1,,57
"Secundaria (014)",647,5,238,232,68,26,6,1,,,71
"Sup. no Univ. Incompleta (015)",89,,23,46,11,,,,,,9
"Sup. no Univ. Completa (016)",217,,36,84,62,13,6,2,,,14
"Sup. Univ. Incompleta (017)",20,,3,3,5,4,,,,,5
"Sup. Univ. Completa (018)",90,,7,30,24,18,6,1,,,4
,,,,,,,,,,,
"RURAL (020)",991,26,396,316,77,41,20,7,,,108
"Sin Nivel (021)",348,11,150,105,24,13,6,4,,,35
"Educación Inicial (022)",1,,1,,,,,,,,
"Primaria (023)",364,15,149,111,27,17,6,2,,,37
"Secundaria (024)",216,,84,75,17,8,3,1,,,28
"Sup. no Univ. Incompleta (025)",18,,5,7,3,,1,,,,2
"Sup. no Univ. Completa (026)",24,,4,10,4,,1,,,,5
"Sup. Univ. Incompleta (027)",7,,3,2,1,,1,,,,
"Sup. Univ. Completa (028)",13,,,6,1,3,2,,,,1
