"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",10201,6931,1026,1025,1219
"Hombres (001)",7108,4591,707,772,1038
"Mujeres (002)",3093,2340,319,253,181
"De 06 a 14 años (003)",136,125,5,6,
"Hombres (004)",85,76,4,5,
"Mujeres (005)",51,49,1,1,
"De 15 a 29 años (006)",2839,1761,318,319,441
"Hombres (007)",1949,1122,224,239,364
"Mujeres (008)",890,639,94,80,77
"De 30 a 44 años (009)",3407,1990,392,472,553
"Hombres (010)",2387,1305,267,335,480
"Mujeres (011)",1020,685,125,137,73
"De 45 a 64 años (012)",2585,1930,254,194,207
"Hombres (013)",1800,1283,174,166,177
"Mujeres (014)",785,647,80,28,30
"De 65 y más años (015)",1234,1125,57,34,18
"Hombres (016)",887,805,38,27,17
"Mujeres (017)",347,320,19,7,1
,,,,,
"URBANA (018)",4643,3077,528,558,480
"Hombres (019)",3016,1909,347,393,367
"Mujeres (020)",1627,1168,181,165,113
"De 06 a 14 años (021)",50,48,2,,
"Hombres (022)",35,34,1,,
"Mujeres (023)",15,14,1,,
"De 15 a 29 años (024)",1342,846,168,168,160
"Hombres (025)",862,517,112,122,111
"Mujeres (026)",480,329,56,46,49
"De 30 a 44 años (027)",1592,894,206,287,205
"Hombres (028)",1016,541,131,186,158
"Mujeres (029)",576,353,75,101,47
"De 45 a 64 años (030)",1136,816,125,90,105
"Hombres (031)",747,503,82,73,89
"Mujeres (032)",389,313,43,17,16
"De 65 y más años (033)",523,473,27,13,10
"Hombres (034)",356,314,21,12,9
"Mujeres (035)",167,159,6,1,1
,,,,,
"RURAL (036)",5558,3854,498,467,739
"Hombres (037)",4092,2682,360,379,671
"Mujeres (038)",1466,1172,138,88,68
"De 06 a 14 años (039)",86,77,3,6,
"Hombres (040)",50,42,3,5,
"Mujeres (041)",36,35,,1,
"De 15 a 29 años (042)",1497,915,150,151,281
"Hombres (043)",1087,605,112,117,253
"Mujeres (044)",410,310,38,34,28
"De 30 a 44 años (045)",1815,1096,186,185,348
"Hombres (046)",1371,764,136,149,322
"Mujeres (047)",444,332,50,36,26
"De 45 a 64 años (048)",1449,1114,129,104,102
"Hombres (049)",1053,780,92,93,88
"Mujeres (050)",396,334,37,11,14
"De 65 y más años (051)",711,652,30,21,8
"Hombres (052)",531,491,17,15,8
"Mujeres (053)",180,161,13,6,
