"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TARATA (000)",4267,89,1114,1298,1181,585
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,,2,13,6,
"Profes., científicos e intelectuales (002)",207,,44,116,44,3
"Técnicos de nivel medio y trab.asimilados (003)",82,,34,33,14,1
"Jefes y empleados de oficina (004)",106,,51,34,20,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",224,3,65,69,68,19
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1557,,188,402,582,385
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",81,,26,31,18,6
"Obreros construc., conf., papel, fab., instr. (008)",187,,73,65,44,5
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1490,84,498,417,344,147
"Otra (010)",52,,15,28,9,
"Ocupación no especificada (011)",41,,15,16,4,6
"Desocupado (012)",219,2,103,74,28,12
"Hombres (013)",2486,58,646,775,680,327
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",17,,2,10,5,
"Profes., científicos e intelectuales (015)",95,,12,51,30,2
"Técnicos de nivel medio y trab.asimilados (016)",49,,19,20,9,1
"Jefes y empleados de oficina (017)",53,,13,24,15,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",63,1,20,21,15,6
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1036,,114,278,385,259
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",69,,23,25,17,4
"Obreros construc., conf., papel, fab., instr. (021)",178,,70,63,40,5
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",704,56,283,194,132,39
"Otra (023)",48,,13,26,9,
"Ocupación no especificada (024)",20,,8,10,2,
"Desocupado (025)",154,1,69,53,21,10
"Mujeres (026)",1781,31,468,523,501,258
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,,,3,1,
"Profes., científicos e intelectuales (028)",112,,32,65,14,1
"Técnicos de nivel medio y trab.asimilados (029)",33,,15,13,5,
"Jefes y empleados de oficina (030)",53,,38,10,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",161,2,45,48,53,13
"Agricult.trabaj. calif. agrop. y pesqueros (032)",521,,74,124,197,126
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",12,,3,6,1,2
"Obreros construc., conf., papel, fab., instr. (034)",9,,3,2,4,
