"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12144,110,3920,3854,1206,431,203,67,7,,2346
"Sin Nivel (001)",2680,29,1005,809,268,129,77,32,4,,327
"Educación Inicial (002)",30,,9,11,2,,,,,,8
"Primaria (003)",3812,46,1441,1256,337,122,73,21,1,,515
"Secundaria (004)",3726,30,1187,1203,323,96,25,9,2,,851
"Sup. no Univ. Incompleta (005)",428,2,93,132,38,10,3,1,,,149
"Sup. no Univ. Completa (006)",303,,38,118,40,13,4,1,,,89
"Sup. Univ. Incompleta (007)",400,1,65,109,36,3,1,,,,185
"Sup. Univ. Completa (008)",765,2,82,216,162,58,20,3,,,222
,,,,,,,,,,,
"URBANA (010)",7443,66,2265,2282,791,276,143,44,4,,1572
"Sin Nivel (011)",1572,22,572,444,160,78,45,21,3,,227
"Educación Inicial (012)",14,,7,4,1,,,,,,2
"Primaria (013)",2170,31,814,677,203,70,52,10,,,313
"Secundaria (014)",2236,10,658,724,200,63,20,8,1,,552
"Sup. no Univ. Incompleta (015)",271,1,61,76,29,7,3,1,,,93
"Sup. no Univ. Completa (016)",224,,29,89,30,7,3,1,,,65
"Sup. Univ. Incompleta (017)",309,1,53,81,31,1,1,,,,141
"Sup. Univ. Completa (018)",647,1,71,187,137,50,19,3,,,179
,,,,,,,,,,,
"RURAL (020)",4701,44,1655,1572,415,155,60,23,3,,774
"Sin Nivel (021)",1108,7,433,365,108,51,32,11,1,,100
"Educación Inicial (022)",16,,2,7,1,,,,,,6
"Primaria (023)",1642,15,627,579,134,52,21,11,1,,202
"Secundaria (024)",1490,20,529,479,123,33,5,1,1,,299
"Sup. no Univ. Incompleta (025)",157,1,32,56,9,3,,,,,56
"Sup. no Univ. Completa (026)",79,,9,29,10,6,1,,,,24
"Sup. Univ. Incompleta (027)",91,,12,28,5,2,,,,,44
"Sup. Univ. Completa (028)",118,1,11,29,25,8,1,,,,43
