"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAURICOCHA (000)",11609,11253,3694,1101,1114,1037,1540,1179,828,760,356,36375
"De 12 a 14 años (001)",1461,1454,1451,2,1,,,,,,7,4
"De 15 a 19 años (002)",1604,1586,1380,171,26,7,2,,,,18,252
"De 20 a 24 años (003)",1219,1106,421,342,245,72,25,1,,,113,1158
"De 25 a 29 años (004)",1154,1056,169,235,271,215,147,17,2,,98,2171
"De 30 a 34 años (005)",1055,1015,83,103,217,239,250,107,16,,40,3136
"De 35 a 39 años (006)",976,947,35,64,102,186,299,185,55,21,29,4019
"De 40 a 44 años (007)",860,852,36,36,46,97,242,191,151,53,8,4586
"De 45 a 49 años (008)",759,744,24,30,50,49,156,172,162,101,15,4559
"De 50 y más años (009)",2521,2493,95,118,156,172,419,506,442,585,28,16490
"PEA (010)",2344,2221,404,301,309,232,386,236,180,173,123,8294
"De 12 a 14 años (011)",52,50,50,,,,,,,,2,
"De 15 a 19 años (012)",151,148,115,24,5,3,1,,,,3,47
"De 20 a 24 años (013)",286,251,97,87,45,16,6,,,,35,250
"De 25 a 29 años (014)",329,291,69,70,72,43,31,4,2,,38,515
"De 30 a 34 años (015)",298,279,32,46,72,48,60,20,1,,19,722
"De 35 a 39 años (016)",275,263,9,26,43,46,91,36,6,6,12,997
"De 40 a 44 años (017)",208,205,9,10,21,28,60,37,28,12,3,1007
"De 45 a 49 años (018)",198,193,9,6,12,17,53,34,41,21,5,1117
"De 50 y más años (019)",547,541,14,32,39,31,84,105,102,134,6,3639
"Ocupada (020)",2252,2146,354,295,302,229,383,233,177,173,106,8208
"De 12 a 14 años (021)",46,44,44,,,,,,,,2,
"De 15 a 19 años (022)",131,128,96,23,5,3,1,,,,3,46
