"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASTILLA (000)",55,50,5
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",21,20,1
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",3,3,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",21,18,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,7,1
