"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LAURICOCHA (000)",7915,103,3304,2594,739,243,100,35,5,,792
"Sin Nivel (001)",1231,28,515,374,134,39,23,9,1,,108
"Educación Inicial (002)",8,,4,4,,,,,,,
"Primaria (003)",3927,58,1873,1255,299,102,47,21,3,,269
"Secundaria (004)",2084,17,808,733,168,48,20,3,1,,286
"Sup. no Univ. Incompleta (005)",153,,32,59,20,9,,,,,33
"Sup. no Univ. Completa (006)",243,,36,93,60,17,4,1,,,32
"Sup. Univ. Incompleta (007)",81,,13,17,14,5,2,,,,30
"Sup. Univ. Completa (008)",188,,23,59,44,23,4,1,,,34
,,,,,,,,,,,
"URBANA (010)",1961,27,716,651,213,87,40,18,2,,207
"Sin Nivel (011)",197,6,81,52,23,9,8,4,,,14
"Educación Inicial (012)",5,,2,3,,,,,,,
"Primaria (013)",811,14,355,254,69,29,15,11,1,,63
"Secundaria (014)",600,7,224,223,38,19,8,1,1,,79
"Sup. no Univ. Incompleta (015)",61,,15,23,12,5,,,,,6
"Sup. no Univ. Completa (016)",128,,19,51,35,5,4,1,,,13
"Sup. Univ. Incompleta (017)",42,,6,10,7,3,2,,,,14
"Sup. Univ. Completa (018)",117,,14,35,29,17,3,1,,,18
,,,,,,,,,,,
"RURAL (020)",5954,76,2588,1943,526,156,60,17,3,,585
"Sin Nivel (021)",1034,22,434,322,111,30,15,5,1,,94
"Educación Inicial (022)",3,,2,1,,,,,,,
"Primaria (023)",3116,44,1518,1001,230,73,32,10,2,,206
"Secundaria (024)",1484,10,584,510,130,29,12,2,,,207
"Sup. no Univ. Incompleta (025)",92,,17,36,8,4,,,,,27
"Sup. no Univ. Completa (026)",115,,17,42,25,12,,,,,19
"Sup. Univ. Incompleta (027)",39,,7,7,7,2,,,,,16
"Sup. Univ. Completa (028)",71,,9,24,15,6,1,,,,16
