"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3092,47,1126,997,353,145,65,27,1,,331
"Catolica (001)",2802,41,996,915,322,139,62,23,1,,303
"Cristiana / Evangelica (002)",157,3,62,50,20,3,3,2,,,14
"Otra (003)",90,1,49,24,4,2,,1,,,9
"Ninguna (004)",43,2,19,8,7,1,,1,,,5
,,,,,,,,,,,
"URBANA (006)",2101,21,730,681,276,104,45,20,1,,223
"Catolica (007)",1940,19,666,635,250,99,44,19,1,,207
"Cristiana / Evangelica (008)",101,2,38,31,17,2,1,,,,10
"Otra (009)",34,,17,8,4,2,,,,,3
"Ninguna (010)",26,,9,7,5,1,,1,,,3
,,,,,,,,,,,
"RURAL (012)",991,26,396,316,77,41,20,7,,,108
"Catolica (013)",862,22,330,280,72,40,18,4,,,96
"Cristiana / Evangelica (014)",56,1,24,19,3,1,2,2,,,4
"Otra (015)",56,1,32,16,,,,1,,,6
"Ninguna (016)",17,2,10,1,2,,,,,,2
