"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",7158,6602,5380,454,768,556,9,90,410,47
"Casa independiente (001)",7036,6481,5332,450,699,555,9,90,409,47
"Choza o cabaña (005)",120,119,46,4,69,1,,,1,
"Local no dest.para hab. humana (007)",2,2,2,,,,,,,
,,,,,,,,,,
"URBANA (009)",882,801,689,74,38,81,3,13,60,5
"Casa independiente (010)",881,800,688,74,38,81,3,13,60,5
"Local no dest.para hab. humana (016)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",6276,5801,4691,380,730,475,6,77,350,42
"Casa independiente (019)",6155,5681,4644,376,661,474,6,77,349,42
"Choza o cabaña (023)",120,119,46,4,69,1,,,1,
"Local no dest.para hab. humana (025)",1,1,1,,,,,,,
