"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ICA (000)",303050,23319,90019,22015,169258
"Quechua (001)",15148,646,4031,963,9556
"Aymara (002)",1039,62,432,60,500
"Asháninka (003)",55,15,12,22,19
"Otra lengua nativa (004)",5,,1,1,3
"Castellano (005)",286394,22559,85466,20923,158929
"Idioma Extranjero (006)",118,1,6,36,76
"Es Sordomudo/a (007)",291,36,71,10,175
"Hombres (009)",147802,10744,43438,11711,82794
"Quechua (010)",7141,245,2152,564,4211
"Aymara (011)",558,38,243,30,256
"Asháninka (012)",24,3,4,9,11
"Otra lengua nativa (013)",2,,,1,1
"Castellano (014)",139859,10438,40996,11079,78187
"Idioma Extranjero (015)",64,,2,20,42
"Es Sordomudo/a (016)",154,20,41,8,86
"Mujeres (018)",155248,12575,46581,10304,86464
"Quechua (019)",8007,401,1879,399,5345
"Aymara (020)",481,24,189,30,244
"Asháninka (021)",31,12,8,13,8
"Otra lengua nativa (022)",3,,1,,2
"Castellano (023)",146535,12121,44470,9844,80742
"Idioma Extranjero (024)",54,1,4,16,34
"Es Sordomudo/a (025)",137,16,30,2,89
,,,,,
"URBANA (027)",277278,20852,81870,20651,155405
"Quechua (028)",13399,599,3365,904,8574
"Aymara (029)",491,22,122,44,314
"Asháninka (030)",49,13,10,19,19
"Otra lengua nativa (031)",5,,1,1,3
"Castellano (032)",262962,20186,78302,19638,146268
"Idioma Extranjero (033)",117,1,5,36,76
"Es Sordomudo/a (034)",255,31,65,9,151
"Hombres (036)",134573,9557,39014,10950,75898
"Quechua (037)",6217,225,1758,521,3740
"Aymara (038)",250,14,62,20,160
"Asháninka (039)",22,3,3,8,11
"Otra lengua nativa (040)",2,,,1,1
"Castellano (041)",127881,9297,37152,10373,71868
"Idioma Extranjero (042)",64,,2,20,42
"Es Sordomudo/a (043)",137,18,37,7,76
"Mujeres (045)",142705,11295,42856,9701,79507
"Quechua (046)",7182,374,1607,383,4834
"Aymara (047)",241,8,60,24,154
"Asháninka (048)",27,10,7,11,8
"Otra lengua nativa (049)",3,,1,,2
"Castellano (050)",135081,10889,41150,9265,74400
"Idioma Extranjero (051)",53,1,3,16,34
"Es Sordomudo/a (052)",118,13,28,2,75
,,,,,
"RURAL (054)",25772,2467,8149,1364,13853
"Quechua (055)",1749,47,666,59,982
"Aymara (056)",548,40,310,16,186
"Asháninka (057)",6,2,2,3,
"Castellano (059)",23432,2373,7164,1285,12661
"Idioma Extranjero (060)",1,,1,,
"Es Sordomudo/a (061)",36,5,6,1,24
"Hombres (063)",13229,1187,4424,761,6896
"Quechua (064)",924,20,394,43,471
"Aymara (065)",308,24,181,10,96
"Asháninka (066)",2,,1,1,
"Castellano (068)",11978,1141,3844,706,6319
"Es Sordomudo/a (070)",17,2,4,1,10
"Mujeres (072)",12543,1280,3725,603,6957
"Quechua (073)",825,27,272,16,511
"Aymara (074)",240,16,129,6,90
"Asháninka (075)",4,2,1,2,
"Castellano (077)",11454,1232,3320,579,6342
"Idioma Extranjero (078)",1,,1,,
"Es Sordomudo/a (079)",19,3,2,,14
