"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SUCRE (000)",3514,52,1537,981,297,96,59,24,6,,462
"Catolica (001)",3101,48,1347,864,264,83,52,24,5,,414
"Cristiana / Evangelica (002)",381,4,172,111,29,13,5,,1,,46
"Otra (003)",11,,8,1,2,,,,,,
"Ninguna (004)",21,,10,5,2,,2,,,,2
,,,,,,,,,,,
"URBANA (006)",2105,31,905,607,191,64,41,15,1,,250
"Catolica (007)",1935,30,820,569,173,60,36,15,1,,231
"Cristiana / Evangelica (008)",153,1,76,34,16,4,3,,,,19
"Otra (009)",7,,4,1,2,,,,,,
"Ninguna (010)",10,,5,3,,,2,,,,
,,,,,,,,,,,
"RURAL (012)",1409,21,632,374,106,32,18,9,5,,212
"Catolica (013)",1166,18,527,295,91,23,16,9,4,,183
"Cristiana / Evangelica (014)",228,3,96,77,13,9,2,,1,,27
"Otra (015)",4,,4,,,,,,,,
"Ninguna (016)",11,,5,2,2,,,,,,2
