"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MELGAR (000)",19325,128,6447,7255,2244,681,270,100,13,,2187
"Catolica (001)",17152,114,5674,6456,1996,600,236,91,11,,1974
"Cristiana / Evangelica (002)",1619,11,587,590,174,63,27,7,1,,159
"Otra (003)",435,1,151,164,57,14,7,1,1,,39
"Ninguna (004)",119,2,35,45,17,4,,1,,,15
,,,,,,,,,,,
"URBANA (006)",9193,52,2948,3356,1141,388,155,56,10,,1087
"Catolica (007)",8269,47,2639,3021,1022,349,139,52,9,,991
"Cristiana / Evangelica (008)",615,3,208,217,75,30,12,2,,,68
"Otra (009)",237,,81,90,33,7,4,1,1,,20
"Ninguna (010)",72,2,20,28,11,2,,1,,,8
,,,,,,,,,,,
"RURAL (012)",10132,76,3499,3899,1103,293,115,44,3,,1100
"Catolica (013)",8883,67,3035,3435,974,251,97,39,2,,983
"Cristiana / Evangelica (014)",1004,8,379,373,99,33,15,5,1,,91
"Otra (015)",198,1,70,74,24,7,3,,,,19
"Ninguna (016)",47,,15,17,6,2,,,,,7
