"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA",,,,,,,,
"Viviendas particulares (001)",9965,913,897,58,77,7969,6,45
"Ocupantes presentes (002)",52872,4994,4347,250,398,42662,37,184
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",5953,831,791,57,74,4179,6,15
"Ocupantes presentes (005)",32623,4633,3962,249,380,23302,37,60
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",2,,2,,,,,
"Ocupantes presentes (008)",7,,7,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",115,,83,,1,31,,
"Ocupantes presentes (011)",386,,270,,7,109,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",8,3,2,,,3,,
"Ocupantes presentes (014)",30,11,5,,,14,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",3854,68,13,,,3743,,30
"Ocupantes presentes (017)",19681,307,59,,,19191,,124
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",22,8,4,,,10,,
"Ocupantes presentes (020)",91,36,24,,,31,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",8,,2,1,2,3,,
"Ocupantes presentes (023)",47,,20,1,11,15,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",3,3,,,,,,
"Ocupantes presentes (026)",7,7,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",2812,772,776,39,50,1170,3,2
"Ocupantes presentes (029)",15007,4281,3704,162,264,6563,24,9
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",2657,759,684,38,47,1124,3,2
"Ocupantes presentes (032)",14466,4229,3397,161,246,6400,24,9
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",2,,2,,,,,
"Ocupantes presentes (035)",7,,7,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",115,,83,,1,31,,
"Ocupantes presentes (038)",386,,270,,7,109,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",8,3,2,,,3,,
"Ocupantes presentes (041)",30,11,5,,,14,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",22,8,4,,,10,,
"Ocupantes presentes (047)",91,36,24,,,31,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",6,,1,1,2,2,,
"Ocupantes presentes (050)",22,,1,1,11,9,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",2,2,,,,,,
"Ocupantes presentes (053)",5,5,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",7153,141,121,19,27,6799,3,43
"Ocupantes presentes (056)",37865,713,643,88,134,36099,13,175
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",3296,72,107,19,27,3055,3,13
"Ocupantes presentes (059)",18157,404,565,88,134,16902,13,51
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",3854,68,13,,,3743,,30
"Ocupantes presentes (071)",19681,307,59,,,19191,,124
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",2,,1,,,1,,
"Ocupantes presentes (077)",25,,19,,,6,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,
"Ocupantes presentes (080)",2,2,,,,,,
