"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJAMARCA (000)",106196,1563,39000,38287,22762,4584
"Empleado (001)",31708,139,11687,13319,6247,316
"Obrero (002)",20286,227,8652,7333,3592,482
"Trabajador independiente (003)",40396,266,11902,14248,10784,3196
"Empleador o patrono (004)",2266,3,645,871,625,122
"Trabajador familiar no remunerado (005)",7784,784,3811,1658,1124,407
"Trabajador del hogar (006)",3756,144,2303,858,390,61
"Hombres (008)",74123,1014,26571,26574,16351,3613
"Empleado (009)",18305,86,6309,7820,3867,223
"Obrero (010)",18784,196,7989,6807,3350,442
"Trabajador independiente (011)",30649,204,9208,10511,8112,2614
"Empleador o patrono (012)",1717,3,484,648,480,102
"Trabajador familiar no remunerado (013)",4550,514,2522,765,524,225
"Trabajador del hogar (014)",118,11,59,23,18,7
"Mujeres (016)",32073,549,12429,11713,6411,971
"Empleado (017)",13403,53,5378,5499,2380,93
"Obrero (018)",1502,31,663,526,242,40
"Trabajador independiente (019)",9747,62,2694,3737,2672,582
"Empleador o patrono (020)",549,,161,223,145,20
"Trabajador familiar no remunerado (021)",3234,270,1289,893,600,182
"Trabajador del hogar (022)",3638,133,2244,835,372,54
,,,,,,
"URBANA (024)",66155,759,23709,25305,14458,1924
"Empleado (025)",28656,129,10335,12041,5855,296
"Obrero (026)",10099,131,4256,3662,1855,195
"Trabajador independiente (027)",20803,146,6161,7738,5586,1172
"Empleador o patrono (028)",1703,,473,674,476,80
"Trabajador familiar no remunerado (029)",1992,239,720,536,372,125
"Trabajador del hogar (030)",2902,114,1764,654,314,56
"Hombres (032)",41102,482,14364,15690,9251,1315
"Empleado (033)",16124,82,5398,6870,3566,208
"Obrero (034)",9376,124,3949,3385,1732,186
"Trabajador independiente (035)",13470,113,4269,4805,3495,788
"Empleador o patrono (036)",1212,,338,466,343,65
"Trabajador familiar no remunerado (037)",823,154,363,145,100,61
"Trabajador del hogar (038)",97,9,47,19,15,7
"Mujeres (040)",25053,277,9345,9615,5207,609
"Empleado (041)",12532,47,4937,5171,2289,88
"Obrero (042)",723,7,307,277,123,9
"Trabajador independiente (043)",7333,33,1892,2933,2091,384
"Empleador o patrono (044)",491,,135,208,133,15
"Trabajador familiar no remunerado (045)",1169,85,357,391,272,64
"Trabajador del hogar (046)",2805,105,1717,635,299,49
,,,,,,
"RURAL (048)",40041,804,15291,12982,8304,2660
"Empleado (049)",3052,10,1352,1278,392,20
"Obrero (050)",10187,96,4396,3671,1737,287
"Trabajador independiente (051)",19593,120,5741,6510,5198,2024
"Empleador o patrono (052)",563,3,172,197,149,42
"Trabajador familiar no remunerado (053)",5792,545,3091,1122,752,282
"Trabajador del hogar (054)",854,30,539,204,76,5
"Hombres (056)",33021,532,12207,10884,7100,2298
"Empleado (057)",2181,4,911,950,301,15
"Obrero (058)",9408,72,4040,3422,1618,256
"Trabajador independiente (059)",17179,91,4939,5706,4617,1826
"Empleador o patrono (060)",505,3,146,182,137,37
"Trabajador familiar no remunerado (061)",3727,360,2159,620,424,164
"Trabajador del hogar (062)",21,2,12,4,3,
"Mujeres (064)",7020,272,3084,2098,1204,362
"Empleado (065)",871,6,441,328,91,5
"Obrero (066)",779,24,356,249,119,31
"Trabajador independiente (067)",2414,29,802,804,581,198
"Empleador o patrono (068)",58,,26,15,12,5
"Trabajador familiar no remunerado (069)",2065,185,932,502,328,118
"Trabajador del hogar (070)",833,28,527,200,73,5
