"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ABANCAY (000)",1516,345,1171
"Sin nivel (001)",45,2,43
"Primaria (003)",287,33,254
"Secundaria (004)",603,148,455
"Superior no univ. incompleta (005)",82,17,65
"Superior no univ. completa (006)",116,24,92
"Superior univ. incompleta (007)",154,59,95
"Superior univ. completa (008)",229,62,167
"Hombres (010)",979,182,797
"Sin nivel (011)",27,1,26
"Primaria (013)",216,18,198
"Secundaria (014)",422,90,332
"Superior no univ. incompleta (015)",50,8,42
"Superior no univ. completa (016)",59,9,50
"Superior univ. incompleta (017)",94,31,63
"Superior univ. completa (018)",111,25,86
"Mujeres (020)",537,163,374
"Sin nivel (021)",18,1,17
"Primaria (023)",71,15,56
"Secundaria (024)",181,58,123
"Superior no univ. incompleta (025)",32,9,23
"Superior no univ. completa (026)",57,15,42
"Superior univ. incompleta (027)",60,28,32
"Superior univ. completa (028)",118,37,81
,,,
"AREA URBANA (030)",1201,301,900
"Sin nivel (031)",24,1,23
"Primaria (033)",163,27,136
"Secundaria (034)",461,119,342
"Superior no univ. incompleta (035)",71,16,55
"Superior no univ. completa (036)",112,23,89
"Superior univ. incompleta (037)",150,57,93
"Superior univ. completa (038)",220,58,162
"Hombres (040)",707,152,555
"Sin nivel (041)",9,1,8
"Primaria (043)",104,12,92
"Secundaria (044)",300,70,230
"Superior no univ. incompleta (045)",43,8,35
"Superior no univ. completa (046)",57,9,48
"Superior univ. incompleta (047)",91,30,61
"Superior univ. completa (048)",103,22,81
"Mujeres (050)",494,149,345
"Sin nivel (051)",15,,15
"Primaria (053)",59,15,44
"Secundaria (054)",161,49,112
"Superior no univ. incompleta (055)",28,8,20
"Superior no univ. completa (056)",55,14,41
"Superior univ. incompleta (057)",59,27,32
"Superior univ. completa (058)",117,36,81
,,,
"AREA RURAL (060)",315,44,271
"Sin nivel (061)",21,1,20
"Primaria (063)",124,6,118
"Secundaria (064)",142,29,113
"Superior no univ. incompleta (065)",11,1,10
"Superior no univ. completa (066)",4,1,3
"Superior univ. incompleta (067)",4,2,2
"Superior univ. completa (068)",9,4,5
"Hombres (070)",272,30,242
"Sin nivel (071)",18,,18
"Primaria (073)",112,6,106
"Secundaria (074)",122,20,102
"Superior no univ. incompleta (075)",7,,7
"Superior no univ. completa (076)",2,,2
"Superior univ. incompleta (077)",3,1,2
"Superior univ. completa (078)",8,3,5
"Mujeres (080)",43,14,29
"Sin nivel (081)",3,1,2
"Primaria (083)",12,,12
"Secundaria (084)",20,9,11
"Superior no univ. incompleta (085)",4,1,3
"Superior no univ. completa (086)",2,1,1
"Superior univ. incompleta (087)",1,1,
"Superior univ. completa (088)",1,1,
