"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SECHURA (000)",52042,12190,18074,11213,7545,3020
"Hombres (001)",26071,6134,8878,5634,3896,1529
"Mujeres (002)",25971,6056,9196,5579,3649,1491
"PEA (003)",20424,569,8403,6430,4156,866
"Hombres (004)",14993,393,6054,4656,3168,722
"Mujeres (005)",5431,176,2349,1774,988,144
"Ocupada (006)",19445,528,7906,6169,4001,841
"Hombres (007)",14164,362,5654,4428,3023,697
"Mujeres (008)",5281,166,2252,1741,978,144
"Desocupada (009)",979,41,497,261,155,25
"Hombres (010)",829,31,400,228,145,25
"Mujeres (011)",150,10,97,33,10,
"No PEA (012)",31618,11621,9671,4783,3389,2154
"Hombres (013)",11078,5741,2824,978,728,807
"Mujeres (014)",20540,5880,6847,3805,2661,1347
,,,,,,
"URBANA (018)",48808,11428,16909,10596,7054,2821
"Hombres (019)",24358,5749,8260,5302,3628,1419
"Mujeres (020)",24450,5679,8649,5294,3426,1402
"PEA (021)",18970,513,7775,6060,3845,777
"Hombres (022)",13792,352,5535,4349,2913,643
"Mujeres (023)",5178,161,2240,1711,932,134
"Ocupada (024)",18044,474,7309,5813,3694,754
"Hombres (025)",13012,322,5163,4135,2772,620
"Mujeres (026)",5032,152,2146,1678,922,134
"Desocupada (027)",926,39,466,247,151,23
"Hombres (028)",780,30,372,214,141,23
"Mujeres (029)",146,9,94,33,10,
"No PEA (030)",29838,10915,9134,4536,3209,2044
"Hombres (031)",10566,5397,2725,953,715,776
"Mujeres (032)",19272,5518,6409,3583,2494,1268
,,,,,,
"RURAL (036)",3234,762,1165,617,491,199
"Hombres (037)",1713,385,618,332,268,110
"Mujeres (038)",1521,377,547,285,223,89
"PEA (039)",1454,56,628,370,311,89
"Hombres (040)",1201,41,519,307,255,79
"Mujeres (041)",253,15,109,63,56,10
"Ocupada (042)",1401,54,597,356,307,87
"Hombres (043)",1152,40,491,293,251,77
"Mujeres (044)",249,14,106,63,56,10
"Desocupada (045)",53,2,31,14,4,2
"Hombres (046)",49,1,28,14,4,2
"Mujeres (047)",4,1,3,,,
"No PEA (048)",1780,706,537,247,180,110
"Hombres (049)",512,344,99,25,13,31
"Mujeres (050)",1268,362,438,222,167,79
