"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VICTOR FAJARDO (000)",8327,6296,890,544,597
"Sin nivel (001)",1078,1010,53,9,6
"Educación inicial (002)",6,6,,,
"Primaria (003)",3301,2897,236,100,68
"Secundaria (004)",2414,1826,252,145,191
"Superior no univ. incompleta (005)",289,168,44,57,20
"Superior no univ. completa (006)",686,233,162,104,187
"Superior univ. incompleta (007)",85,32,22,15,16
"Superior univ. completa (008)",468,124,121,114,109
"De 06 a 14 años (010)",249,215,20,13,1
"Sin nivel (011)",9,9,,,
"Educación inicial (012)",2,2,,,
"Primaria (013)",197,169,15,12,1
"Secundaria (014)",41,35,5,1,
"De 15 a 29 años (020)",1989,1377,240,175,197
"Sin nivel (021)",36,34,2,,
"Primaria (023)",490,421,40,24,5
"Secundaria (024)",995,744,114,71,66
"Superior no univ. incompleta (025)",118,66,15,28,9
"Superior no univ. completa (026)",235,76,44,31,84
"Superior univ. incompleta (027)",25,6,7,4,8
"Superior univ. completa (028)",90,30,18,17,25
"De 30 a 44 años (030)",2715,1858,355,233,269
"Sin nivel (031)",148,138,6,1,3
"Educación inicial (032)",4,4,,,
"Primaria (033)",951,814,73,36,28
"Secundaria (034)",871,653,90,51,77
"Superior no univ. incompleta (035)",121,74,18,23,6
"Superior no univ. completa (036)",331,105,90,53,83
"Superior univ. incompleta (037)",39,17,7,9,6
"Superior univ. completa (038)",250,53,71,60,66
"De 45 a 64 años (040)",2241,1779,223,114,125
"Sin nivel (041)",434,398,30,4,2
"Primaria (043)",1076,941,77,25,33
"Secundaria (044)",437,330,40,21,46
"Superior no univ. incompleta (045)",41,21,10,6,4
"Superior no univ. completa (046)",114,46,28,20,20
"Superior univ. incompleta (047)",20,9,7,2,2
"Superior univ. completa (048)",119,34,31,36,18
"De 65 y más años (050)",1133,1067,52,9,5
"Sin nivel (051)",451,431,15,4,1
"Primaria (053)",587,552,31,3,1
"Secundaria (054)",70,64,3,1,2
"Superior no univ. incompleta (055)",9,7,1,,1
"Superior no univ. completa (056)",6,6,,,
"Superior univ. incompleta (057)",1,,1,,
"Superior univ. completa (058)",9,7,1,1,
,,,,,
"URBANA (060)",6511,4738,792,462,519
"Sin nivel (061)",719,662,47,5,5
