"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia EL COLLAO (000)",31442,28239,1286,502,1415
"Empleado (001)",2598,604,323,371,1300
"Obrero (002)",1249,919,125,112,93
"Trabajador independiente (003)",19995,19459,536,,
"Empleador o patrono (004)",140,127,6,5,2
"Trabajador familiar no remunerado (005)",7345,7015,296,14,20
"Trabajador del hogar (006)",115,115,,,
"De 06 a 14 años (008)",469,438,29,2,
"Empleado (009)",21,17,4,,
"Obrero (010)",10,10,,,
"Trabajador independiente (011)",94,85,9,,
"Trabajador familiar no remunerado (013)",337,319,16,2,
"Trabajador del hogar (014)",7,7,,,
"De 15 a 29 años (016)",8622,7624,420,134,444
"Empleado (017)",808,238,78,90,402
"Obrero (018)",476,348,58,37,33
"Trabajador independiente (019)",4456,4302,154,,
"Empleador o patrono (020)",38,32,3,1,2
"Trabajador familiar no remunerado (021)",2771,2631,127,6,7
"Trabajador del hogar (022)",73,73,,,
"De 30 a 44 años (024)",9722,8401,464,222,635
"Empleado (025)",1137,219,152,170,596
"Obrero (026)",402,277,45,45,35
"Trabajador independiente (027)",6206,6019,187,,
"Empleador o patrono (028)",48,42,2,4,
"Trabajador familiar no remunerado (029)",1908,1823,78,3,4
"Trabajador del hogar (030)",21,21,,,
"De 45 a 64 años (032)",8834,8057,331,134,312
"Empleado (033)",598,118,85,107,288
"Obrero (034)",306,241,21,25,19
"Trabajador independiente (035)",6214,6058,156,,
"Empleador o patrono (036)",40,39,1,,
"Trabajador familiar no remunerado (037)",1664,1589,68,2,5
"Trabajador del hogar (038)",12,12,,,
"De 65 y más años (040)",3795,3719,42,10,24
"Empleado (041)",34,12,4,4,14
"Obrero (042)",55,43,1,5,6
"Trabajador independiente (043)",3025,2995,30,,
"Empleador o patrono (044)",14,14,,,
"Trabajador familiar no remunerado (045)",665,653,7,1,4
"Trabajador del hogar (046)",2,2,,,
,,,,,
"URBANA (048)",9191,7030,580,406,1175
"Empleado (049)",2057,434,220,307,1096
"Obrero (050)",661,425,77,87,72
"Trabajador independiente (051)",5323,5105,218,,
"Empleador o patrono (052)",89,80,4,4,1
"Trabajador familiar no remunerado (053)",987,912,61,8,6
"Trabajador del hogar (054)",74,74,,,
"De 06 a 14 años (056)",244,221,21,2,
